X,Y,Z
471.957,182.906,6.882
456.374,185.106,6.271
420.745,189.182,6.157
444.898,189.838,6.28
514.558,191.899,6.434
433.8,194.923,6.106
466.91,194.975,5.921
493.029,197.469,6.146
454.889,199.926,5.988
506.468,200.343,6.18
522.956,200.924,6.267
418.235,202.846,6.182
477.482,204.575,5.534
393.508,206.366,6.098
442.882,205.506,5.775
536.276,205.946,6.737
431.246,208.358,5.929
549.772,207.811,6.417
465.133,209.873,5.881
501.035,210.915,6.189
488.348,210.287,6.072
512.876,211.121,6.118
407.774,212.249,6.125
451.584,215.028,5.902
526.143,213.766,6.01
422.747,217.447,6.027
384.548,214.967,6.256
476.623,218.917,5.786
436.728,220.61,5.946
494.097,221.252,6.034
400.114,222.429,6.039
554.881,219.161,6.442
463.875,221.936,5.593
413.59,225.215,6.276
507.271,224.632,5.836
518.49,224.707,6.117
531.391,225.147,6.196
448.713,226.207,5.796
484.966,229.209,6.444
548.432,229.21,6.49
377.329,231.906,6.35
472.89,232.756,5.998
424.337,232.19,6.051
497.468,234.365,6.274
436.37,234.473,6.449
410.857,238.446,6.36
538.095,235.577,6.595
394.709,238.326,6.372
511.203,237.943,6.376
449.111,240.37,6.009
487.33,242.111,6.3
422.687,245.225,6.723
402.688,248.322,6.459
499.615,246.67,6.654
431.147,170.12,6.753
478.608,172.866,6.915
507.413,170.566,7.15
446.109,174.592,6.684
462.219,173.204,6.528
494.468,173.991,6.545
400.112,176.848,6.65
372.966,179.038,7.098
386.94,179.795,7.11
432.935,182.131,6.696
513.759,181.332,6.821
486.639,184.423,6.664
548.348,182.919,6.983
501.839,186.35,6.719
408.15,187.047,6.262
525.886,186.4,6.753
365.515,188.731,7.064
560.967,186.82,7.304
352.094,188.863,7.425
394.112,191.203,6.501
379.663,193.815,6.72
479.478,193.635,6.304
535.806,193.4,6.841
570.75,194.788,6.817
548.672,195.708,6.661
405.15,198.611,5.962
358.949,200.852,6.535
561.54,204.642,6.9
374.122,206.218,6.381
573.777,208.098,6.662
585.978,206.104,6.978
346.967,208.198,6.724
595.788,209.082,6.878
360.603,214.312,6.294
605.861,214.061,7.413
541.479,218.017,6.715
566.375,218.234,6.638
335.677,219.194,7.303
580.673,219.528,6.875
349.841,221.507,6.931
371.921,220.924,6.581
594.438,221.126,7.022
389.77,226.898,6.581
560.414,229.464,6.646
361.676,229.803,6.884
343.058,231.789,7.206
583.166,232.112,6.805
605.116,231.716,7.266
571.409,232.786,6.641
594.144,232.962,7.371
523.786,236.214,6.137
460.887,235.887,5.242
549.468,240.77,7.01
381.47,242.952,6.796
562.011,242.838,6.963
365.314,243.622,6.473
575.925,244.382,6.957
460.154,245.785,5.923
474.027,247.662,6.014
436.524,248.822,5.979
536.707,249.457,6.37
390.241,252.167,7.184
524.217,248.622,6.654
511.858,251.05,6.552
549.874,253.124,6.876
376.751,254.788,7.335
450.222,254.904,6.17
410.111,257.04,7.286
487.829,254.679,6.788
464.768,258.284,6.411
429.781,258.466,6.73
500.375,259.103,6.874
397.16,263.022,7.089
420.242,263.22,7.084
527.913,260.183,7.065
429.796,157.085,7.701
479.712,157.04,7.712
500.719,158.401,7.797
443.857,160.619,7.614
456.439,162.347,7.61
468.943,161.506,7.592
418.35,161.818,7.357
489.173,164.007,7.734
405.691,163.505,7.51
533.887,165.645,7.926
391.219,165.953,7.591
378.211,167.668,7.533
546.171,167.663,7.679
522.996,171.542,7.093
557.528,172.162,7.817
568.505,173.119,7.94
417.939,174.182,6.682
359.452,176.148,7.753
535.747,179.457,7.327
589.813,177.176,8.208
576.137,183.953,7.494
597.971,184.912,7.953
329.06,192.754,8.353
584.859,193.331,7.374
341.33,194.989,6.904
598.638,197.631,7.728
317.921,196.155,8.239
623.623,197.504,8.292
609.971,202.549,7.594
633.297,205.848,8.404
329.679,206.177,7.656
314.403,208.149,8.003
620.429,210.15,7.755
322.519,218.875,7.816
309.988,220.885,8.08
613.77,221.133,7.209
626.688,219.848,7.921
638.944,220.444,8.458
328.883,231.769,7.892
619.915,230.432,7.803
632.268,231.826,7.869
643.54,232.164,8.272
314.072,233.934,8.239
352.645,240.325,6.964
613.817,241.125,7.638
335.395,242.257,8.036
589.022,244.375,7.505
624.072,242.662,7.928
321.747,244.493,7.885
636.442,243.984,8.645
601.972,245,7.65
343.989,250.017,7.869
356.701,253.054,7.265
582.096,255.126,7.582
568.258,254.531,7.11
596.654,255.668,7.866
331.422,256.55,7.93
365.559,261.36,7.28
441.854,261.876,6.528
541.235,261.22,7.22
476.281,261.971,6.583
513.187,263.473,6.78
558.006,262.69,7.374
383.007,266.621,7.947
485.966,267.73,6.933
452.839,266.559,7.27
466.143,267.865,7.071
534.1,270.838,8.087
409.424,271.927,7.325
521.701,271.406,7.59
