X,Y,Z
361.947,172.95,4.969
314.498,173.676,4.869
279.488,176.9,5.055
398.072,178.692,4.525
345.765,181.9,4.295
291.352,183.748,4.754
429.594,184.125,4.722
412.538,183.74,5.017
443.874,183.972,4.911
471.8,185.619,4.757
319.965,187.785,4.369
275.79,190.026,4.886
385.287,188.965,4.428
398.454,189.095,4.758
306.219,191.55,4.701
345.421,191.465,4.304
372.646,191.059,4.432
259.962,193.121,4.792
482.154,192.867,5.084
289.043,194.866,4.5
359.881,191.046,4.866
460.922,193,4.875
332.176,196.791,4.036
437.366,196.11,5.007
448.717,194.546,5.039
408.839,196.902,4.623
316.236,199.722,4.603
394.319,200.063,4.504
278,202.615,4.554
349.675,201.935,4.505
248.396,203.124,4.827
300.386,204.118,4.48
367.523,202.22,4.78
379.657,202.517,4.854
492.399,203.087,5.202
262.913,205.694,4.806
418.383,206.203,4.244
452.838,205.179,4.547
338.964,207.731,4.348
405.477,208.612,4.446
358.525,209.718,4.141
481.833,207.124,5.026
442.668,208.851,4.66
288.021,211.035,4.674
324.854,210.519,4.762
388.612,211.292,4.602
311.553,212.694,4.58
373.711,213.091,4.799
273.504,214.407,4.506
471.761,213.646,5.047
505.049,214.698,5.19
239.123,214.667,5.046
430.222,215.366,4.375
222.9,215.423,5.086
255.594,217.406,4.725
348.895,218.786,4.47
455.996,216.327,4.715
298.93,219.562,4.617
335.94,218.672,4.575
397.78,218.572,4.516
415.025,219.355,4.596
482.543,220.404,5.079
384.311,222.543,4.685
440.325,222.367,5.049
284.022,223.397,4.857
324.069,224.262,4.206
244.219,225.628,5.316
310.451,226.707,4.362
426.693,225.87,4.675
404.803,228.218,4.762
336.157,232.438,4.503
349.41,232.211,4.33
392.101,230.915,4.477
364.203,234.588,4.693
281.715,236.639,5.28
379.18,235.251,4.55
329.243,246.389,4.67
394.154,156.934,5.692
407.944,159.31,5.484
383.172,161.356,5.376
419.664,162.935,5.586
373.454,167.585,4.888
393.309,168.752,5.275
292.213,171.94,5.299
326.419,173.322,4.749
337.837,171.812,5.083
408.224,171.409,5.306
350.625,172.745,4.797
422.112,173.867,5.049
493.79,173.337,5.593
436.263,173.99,5.058
448.581,173.853,5.253
468.588,174.422,5.123
383.324,177.268,4.831
237.301,178.786,5.589
304.915,180.359,5.088
371.412,179.649,4.445
265.16,181.063,4.895
458.894,181.538,5.322
536.511,184.141,5.746
333.492,185.454,4.691
486.959,182.706,5.389
502.08,184.861,5.606
245.759,189.896,5.222
493.848,192.313,5.241
421.289,193.928,4.764
212.974,192.707,5.982
472.359,197.744,5.5
527.479,195.718,5.361
541.147,195.689,5.568
504.549,201.063,5.312
581.074,199.836,5.762
232.558,204.05,5.108
429.3,203.225,4.812
516.299,202.692,5.185
217.629,204.01,5.4
463.697,205.368,4.879
537.434,206.953,5.282
548.863,205.47,5.239
526.678,208.842,5.047
493.099,214.582,4.824
516,215.008,5.384
579.367,213.17,5.521
208.784,214.77,5.736
544.751,216.833,5.65
533.691,219.023,5.541
601.985,219.534,5.855
361.215,222.399,4.794
372.294,225.031,4.661
