X,Y,Z
278.95,175.071,5.853
307.061,180.973,6.294
365.111,150.137,7.322
376.896,150.531,7.381
272.819,152.333,6.489
247.311,155.535,6.689
232.29,159.265,6.742
317.02,160.706,6.666
359.447,161.763,6.644
396.496,159.987,7.019
277.45,162.965,6.526
257.096,162.962,6.461
206.202,163.262,6.905
219.586,163.049,6.808
287.695,166.532,6.15
347.748,165.196,6.971
244.113,167.47,6.234
299.484,168.749,7.087
267.11,168.866,6.077
336.528,168.881,6.286
231.29,171.482,6.04
357.605,172.291,6.969
318.86,174.69,6.303
389.13,169.691,7.367
209.35,174.516,6.642
256.538,175.394,6.712
399.885,172.146,7.404
221.28,175.038,6.406
345.183,176.382,7.235
366.536,178.119,6.459
292.081,179.02,6.29
243.099,180.585,6.54
330.465,179.528,7.595
268.326,182.241,6.373
231.077,184.619,6.43
387.632,180.982,7.119
401.988,182.458,7.183
423.498,182.076,7.526
255.575,188.239,6.519
319.367,186.181,7.326
205.051,186.79,6.805
217.596,186.925,6.645
191.605,186.708,6.675
281.454,187.687,6.543
342.057,186.955,7.36
296.974,189.272,6.964
393.274,189.604,7.071
242.215,193.084,6.489
269.614,193.659,6.514
308.877,192.857,6.459
228.206,197.605,6.943
256.655,199.56,6.685
320.235,198.643,6.398
286.22,198.564,6.881
219.685,208.623,7.319
316.269,136.168,6.639
258.952,137.293,7.616
356.184,140.189,7.898
286.2,142.249,6.658
306.794,142.132,7.494
334.604,143.992,7.547
223.747,147.12,7.064
297.162,146.225,6.85
187.837,147.279,7.62
345.292,146.004,7.275
397.877,145.675,8.382
236.673,148.033,6.928
259.986,149.636,7.13
315.816,149.213,6.94
388.864,149.814,8.132
213.214,152.074,7.811
200.736,152.165,7.172
327.227,153.735,6.976
352.994,153.364,7.725
450.165,150.531,7.738
304.887,155.476,7.102
439.237,153.942,7.891
289.981,155.984,7.209
408.339,154.975,7.551
338.529,157.136,7.267
428.282,158.342,8.416
191.043,160.034,7.143
478.753,157.674,8.192
382.89,160.617,7.685
459.054,160.439,7.93
371.251,163.846,7.051
417.483,163.099,7.696
407.018,164.995,7.701
448.269,162.072,8.782
166.636,165.517,7.368
470.232,164.562,8.038
541.275,164.008,8.765
181,167.291,7.373
326.996,166.625,6.961
436.705,165.661,8.416
310.131,169.625,6.793
479.908,169.846,8.261
532.436,168.382,8.714
551.924,169.246,8.258
425.885,170.675,8.118
196.523,173.462,7.292
456.632,171.521,7.834
378.286,172.894,7.289
491.009,173.244,8.251
412.543,175.126,7.552
503.082,176.534,7.694
167.381,177.656,6.758
434.607,177.607,8.067
182.241,178.227,7.22
475.383,181.038,7.783
531.292,180.625,7.756
354.325,183.819,6.849
454.827,182.036,7.429
375.581,185.781,7.159
443.282,185.294,8.308
412.403,187.122,7.602
176.617,189.498,7.256
433.177,190.168,7.28
330.225,191.959,7.412
364.456,191.11,6.435
453.623,192.306,7.482
475.987,192.873,7.518
382.149,194.896,7.235
403.918,195.096,7.769
422.031,193.56,6.933
165.968,196.221,7.488
213.528,198.003,7.253
341.263,197.452,7.551
186.535,197.65,7.14
199.526,198.618,7.193
298.576,199.987,6.179
442.142,198.24,7.89
370.782,200.107,7.347
331.163,203.048,7.483
393.106,202.329,6.882
271.233,203.94,7.467
414.129,201.824,7.607
242.27,204.825,6.602
309.244,205.637,6.984
381.661,206.096,7.574
283.119,210.005,7.495
296.636,208.442,6.95
321.199,209.509,7.129
361.73,208.14,7.418
191.478,209.165,7.643
206.032,209.456,7.828
403.01,208.193,7.553
258.246,211.798,7.212
270.648,216.915,7.437
352.885,216.923,7.693
257.418,124.943,9.175
269.211,128.301,7.726
307.206,128.023,8.412
374.571,128.06,8.343
284.533,129.611,8.031
362.917,130.61,8.249
221.918,132.741,7.787
331.679,132.552,8.13
295.094,134.919,7
396.293,133.1,7.745
343.638,134.796,8.267
211.466,137.76,8.322
234.584,137.644,7.703
383.853,138.371,8.149
371.04,139.333,7.694
274.134,139.628,7.605
490.195,138.759,8.941
421.321,139.985,9.032
199.147,140.744,8.155
440.438,142.627,8.695
246.952,142.504,6.88
325.025,141.884,8.062
173.631,142.634,8.407
409.798,145.168,7.846
472.208,145.317,8.828
430.145,146.931,8.16
460.396,145.538,8.233
530.985,145.744,8.756
483.061,147.475,8.929
680.788,148.86,8.96
542.237,150.477,8.732
418.972,151.654,8.228
492.952,150.499,8.345
521.009,150.849,8.789
163.576,152.695,8.161
177.719,155.331,7.786
467.134,154.244,8.439
567.596,152.686,9.477
502.1,154.849,8.724
532.634,156.701,8.959
511.944,157.841,8.732
549.844,158.758,8.987
579.488,157.043,9
522.302,161.552,8.34
560.383,160.394,8.529
590.175,160.185,8.948
152.986,162.738,8.312
489.195,162.387,8.353
600.616,163.701,8.532
618.915,163.291,9.364
571.541,164.276,8.414
500.456,165.556,8.081
658.274,168.105,8.987
592.276,169.78,8.97
608.322,169.773,9.046
669.237,171.063,9.187
523.348,171.928,8.676
562.443,171.52,8.894
688.072,170.072,8.646
445.409,173.692,8.33
153.053,174.765,8.371
466.936,174.633,7.981
541.787,175.28,8.515
755.079,175.611,9.352
573.601,175.691,9.498
585.131,178.183,8.405
598.454,177.624,8.607
680.509,178.173,9.074
714.364,178.904,8.811
551.901,180.153,9.062
564.46,181.425,9.236
609.844,180.958,8.494
485.484,183.094,8.082
670.212,183.038,9.531
496.45,183.973,8.381
158.336,186.026,7.567
521.96,185.027,8.258
653.286,185.647,9.094
689.677,185.486,9.016
464.892,186.288,7.7
631.701,185.46,8.648
642.565,187.272,9.021
734.755,186.145,9.219
508.871,186.839,8.697
540.821,186.381,8.123
709.664,188.553,8.553
560.158,190.829,8.473
601.297,188.476,8.994
531.225,191.084,7.942
571.504,191.617,8.468
