X,Y,Z
497.365,203.243,5.889
394.807,217.42,5.675
469.398,222.119,5.193
446.292,228.012,5.901
395.013,240.081,5.832
439.829,247.448,5.987
370.324,186.333,6.767
382.552,193.972,6.394
465.258,192.484,6.127
476.724,197.955,6.292
426.358,200.78,6.563
440.844,200.452,6.075
455.69,201.437,5.998
412.633,203.211,6.008
518.34,202.452,6.437
398.292,204.04,6.499
356.858,205.038,6.079
385.375,206.766,6.238
468.744,208.261,6.807
507.727,210.962,6.456
529.361,210.57,6.453
447.66,212.373,6.412
422.741,214.149,6.284
435.519,213.498,6.366
481.826,216.968,5.394
350.167,216.746,6.296
365.217,217.263,6.315
379.132,217.839,6.579
408.017,217.109,6.414
518.2,218.449,6.388
506.009,223.698,6.189
433,225.58,6.405
550.65,224.625,6.682
388.668,228.033,6.265
494.084,229.822,6.554
528.551,226.414,6.827
419.681,228.673,6.011
372.121,230.625,6.15
459.089,231.417,6.524
404.434,230.839,6.339
518.42,233.494,6.163
570.953,231.466,6.739
472.094,235.421,6.487
505.184,235.969,6.498
382.019,239.518,6.004
433.717,238.178,6.748
418.607,241.146,6.138
451.052,242.414,5.844
510.983,246.37,6.412
407.039,246.88,6.441
481.891,244.669,6.904
465.667,245.541,6.897
372.892,247.782,6.902
337.915,253.331,6.308
361.415,254.709,5.833
384.755,253.12,6.456
397.136,253.966,6.515
475.514,255.779,6.573
501.151,255.57,6.471
460.66,255.714,6.714
404.943,263.259,6.928
427.04,177.711,7.284
510.202,175.854,7.358
476.109,184.393,6.526
393.103,187.15,6.671
433.991,188.741,6.774
542.141,189.199,7
418.161,189.49,7.682
446.167,190.199,7.323
517.173,188.903,7.582
507.091,195.928,6.699
529.057,196.505,7.271
553.176,198.427,7.451
370.594,202.526,6.7
344.455,202.278,6.841
540.655,203.935,7.124
486.389,206.2,6.735
563.489,206.468,7.478
551.291,211.071,6.914
599.164,210.525,7.803
573.214,216.189,7.212
585.394,213.711,8.047
334.79,216.377,6.51
458.194,217.648,6.729
494.612,217.77,7.4
539.172,218.33,7.431
561.781,220.534,7.515
623.928,221.149,7.451
594.667,223.237,7.957
582.437,226.795,7.136
343.539,229.275,7.122
357.294,229.441,6.864
482.206,230.51,7.194
541.086,232.096,7.161
615.723,230.764,8.232
591.404,235.082,7.67
557.693,234.527,7.633
337.668,240.876,7.401
530.781,239.511,7.489
362.326,241.162,6.615
349.949,244.075,6.15
494.912,244.442,7.27
544.449,243.704,7.522
324.358,245.594,7.261
311.539,245.582,7.353
568.677,244.981,8.038
523.085,249.898,6.823
427.377,251.566,7.162
489.127,257.553,7.095
448.615,258.413,6.829
350.533,260.242,6.268
416.691,257.973,7.569
436.096,260.198,7.108
513.692,258.84,7.206
526.026,263.364,7.251
375.482,263.541,7.043
469.142,266.338,7.18
389.028,268.331,6.979
557.985,267.89,7.224
427.343,269.514,7.123
484.064,269.596,6.915
500.604,267.929,7.477
441.604,272.579,7.446
414.628,273.343,7.398
401.392,275.096,7.623
493.986,277.852,7.533
499.871,167.666,7.952
368.112,172.171,8.295
416.738,171.546,7.954
392.673,172.162,7.611
465.229,174.548,7.499
521.149,173.343,7.901
440.77,176.656,7.697
477.906,174.161,7.867
405.079,179.689,8.087
489.423,180.082,8.045
381.607,180.998,8.498
583.417,179.259,9.094
501.286,184.132,7.623
456.198,185.172,7.91
530.407,184.119,8.451
342.294,188.821,7.735
555.334,185.227,8.148
404.632,192.513,7.235
489.145,193.445,7.841
356.77,193.925,7.23
