Median,Min,Max
1793,1793,1793
1792,1792,1792
1772,1772,1772
1722,1722,1722
1705,1705,1705
1751,1751,1751
1763,1763,1763
1706,1706,1706
1764,1764,1764
1775,1775,1775
1707,1707,1707
1776,1776,1776
1760,1760,1760
1649,1649,1649
1708,1708,1708
1739,1739,1739
1771,1771,1771
1787,1787,1787
1530,1530,1530
1777,1777,1777
1761,1761,1761
1796,1796,1796
1797,1797,1797
1703,1703,1703
1789,1789,1789
1629,1629,1629
1778,1778,1778
1677,1677,1677
1721,1721,1721
1704,1704,1704
1681,1681,1681
1767,1767,1767
1799,1799,1799
1680,1680,1680
1657,1657,1657
1602,1602,1602
1651,1651,1651
1630,1630,1630
1404,941,1465
1711,1711,1711
1631,1631,1631
1656,1656,1656
1634,1634,1634
1337,1324,1366
1762,1762,1762
1754,1498,1779
1728,1728,1728
1571,741,1638
1606,1606,1606
1607,1607,1607
1321,1321,1321
1738,1738,1738
1389,203,1461
1483,1483,1483
1779,1768,1779
1527,1527,1527
1532,1532,1532
1652,1652,1652
1319,1319,1329
1791,1791,1791
1683,1683,1683
1535,1535,1535
1729,1729,1729
1349,1349,1349
1594,1542,1632
1684,1684,1684
1245,1245,1245
1296,1296,1296
1493,491,1581
1752,1752,1752
1285,1285,1285
1179,1179,1179
1450,1450,1450
1488,1488,1488
1721,1708,1723
1609,1609,1609
1229,1229,1229
1211,1017,1262
1484,1484,1484
1678,1678,1678
1795,1795,1795
1612,1612,1612
1604,1604,1604
1611,1611,1611
1528,1528,1528
1297,1297,1297
1661,1661,1661
1297,1297,1297
1307,1305,1321
1299,1299,1299
1653,1653,1653
1353,1353,1353
1709,1709,1709
1154,1154,1154
1573,1573,1573
1529,1529,1529
1201,1201,1201
1282,1282,1282
1403,1403,1403
1633,1633,1633
1313,1313,1313
1536,1536,1536
1320,1151,1377
1574,1574,1574
1766,1766,1766
1731,1731,1731
1605,1605,1605
1491,1491,1491
1756,1756,1756
1492,1492,1492
1405,1405,1405
1307,1307,1310
1287,1287,1287
1730,1730,1730
1323,1323,1323
1710,1710,1710
1285,1191,1318
1743,1743,1743
1788,1788,1788
1780,1780,1780
1575,1575,1575
1715,1715,1715
1726,1726,1726
1782,1782,1782
1753,1753,1753
1725,1725,1725
1679,1679,1679
1692,1692,1692
1485,1485,1485
1740,1740,1740
1654,1654,1654
1691,1691,1691
1663,1663,1663
1531,1531,1531
1616,1616,1616
1650,1650,1650
1576,1576,1576
1655,1655,1655
1240,1240,1240
1727,1727,1727
1248,1248,1248
1495,1495,1495
1577,1577,1577
1233,1233,1233
1735,1731,1735
1543,1543,1543
1746,221,1772
1641,1641,1641
1682,1682,1682
1579,1579,1579
1204,1204,1204
1123,1123,1123
1249,1249,1249
1400,1400,1400
1318,1318,1318
1294,1294,1294
1754,1744,1754
1578,1578,1578
1216,1216,1216
1265,1265,1265
1262,1262,1262
1298,1298,1298
1486,1486,1486
1283,1283,1283
1716,1716,1716
1603,1603,1603
1401,1401,1401
1487,1487,1487
1580,1580,1580
1658,1658,1658
1554,1554,1554
1667,1667,1667
1659,1659,1659
1242,1242,1242
1533,1533,1533
1299,1299,1299
