X,Y,Z
598.149,218.238,5.704
625.584,186.847,5.888
486.671,187.191,6.629
582.105,190.149,6.118
321.087,191.906,6.241
635.706,195.048,6.056
514.571,203.058,6.147
374.241,201.362,6.113
525.473,204.113,6.194
604.175,208.449,5.985
362.108,208.293,6.214
340.965,210.436,6.247
616.083,209.005,5.905
308.302,211.241,6.287
589.536,211.33,5.998
637.697,211.08,5.863
470.848,214.27,6.197
505.398,223.947,6.119
587.57,223.719,6.316
443.966,224.997,6.194
516.375,224.244,6.157
631.104,228.763,5.773
596.732,230.86,5.951
509.763,235.162,6.073
289.936,243.795,6.405
433.044,244.681,6.245
435.257,255.982,6.353
426.569,264.246,6.298
454.773,268.621,6.456
506.842,147.467,6.956
444.187,154.982,6.741
336.055,156.617,6.961
515.846,157.232,6.436
572.515,156.144,6.56
433.834,162.472,6.339
489.651,162.709,6.474
473.444,164.556,6.263
562.661,163.218,6.55
344.968,165.968,6.485
526.176,164.301,6.44
402.543,166.117,6.46
329.853,169.609,6.578
499.825,168.387,6.371
304.367,172.459,6.715
363.216,171.562,6.59
482.377,172.151,6.253
593.507,171.546,5.761
554.057,172.094,6.229
430.502,174.126,6.239
468.214,174.115,5.958
524.535,173.733,6.005
492.929,176.764,6.139
623.862,173.64,5.99
663.836,174.285,7.024
544.719,178.656,6.433
319.36,177.604,6.484
439.472,182.132,6.454
603.909,180.676,6.046
295.761,182.534,6.797
634.919,180.239,6.046
331.13,184.97,6.427
476.582,182.204,6.276
525.461,186.213,6.24
376.284,188.406,6.086
449.765,189.489,6.302
497.132,189.599,5.807
645.967,188.779,6.181
418.5,190.942,5.951
509.212,190.377,6.068
298.504,193.685,6.482
272.98,194.327,6.734
439.669,194.307,6.081
364.028,195.561,6.419
385.815,194.107,6.206
407.125,195.699,6.169
549.993,196.933,5.986
606.448,195.667,6
484.603,199.084,6.213
617.915,196.297,5.849
284.499,199.651,6.34
309.756,199.231,6.509
428.176,199.112,6.281
572.446,199.606,6
494.279,201.68,6.31
560.627,199.653,6.023
585.128,200.518,5.897
671.086,199.452,6.97
646.929,201.633,6.21
350.331,202.523,6.387
416.281,203.579,5.973
542.684,205.48,6.186
321.405,206.925,6.459
438.273,206.14,6.089
405.474,209.512,6.049
577.758,209.207,6.19
426.168,211.088,6.322
566.865,212.253,6.007
284.432,214.247,6.482
488.735,214.057,5.883
532.958,212.135,5.995
373.045,213.568,6.296
509.689,213.417,6.126
520.597,213.814,6.27
649.196,215.134,6.25
253.746,214.489,7.143
414.497,216.103,6.159
548.54,216.939,5.81
626.904,217.038,6.031
362.931,220.951,6.404
558.672,221.212,6.282
296.107,219.664,6.339
539.206,220.311,6.244
659.023,219.916,6.771
576.317,220.298,6.088
308.243,223.026,6.228
386.178,221.644,6.01
480.918,222.713,6.261
617.659,223.39,5.829
641.582,224.03,6.118
423.409,223.688,5.833
466.744,224.165,6.234
375.272,224.885,6.609
274.993,225.122,6.311
454.808,226.496,6.481
494.384,225.426,6.282
567.104,229.164,6.228
546.934,229.792,6.208
286.632,230.42,6.496
327.613,232.316,6.264
665.189,229.795,7.047
354.003,232.429,6.173
536.009,232.208,5.751
391.768,232.737,6.447
432.141,231.437,5.874
298.545,233.347,6.198
314.413,234.109,6.626
366.157,233.507,6.243
578.223,232.047,5.882
379.498,235.303,6.238
402.98,234.784,5.865
442.249,236.082,6.361
557.041,234.193,6.014
463.375,235.688,5.906
608.667,237.179,6.082
422.095,237.816,6
452.904,240.37,6.033
565.47,241.693,6.357
530.865,242.434,6.135
541.756,242.596,6.153
304.702,244.16,6.458
346.738,245.208,6.184
411.578,244.341,6.388
481.901,241.961,6.148
319.263,245.72,6.436
520.227,245.886,6.478
551.094,245.562,6.445
575.832,244.02,5.883
359.186,246.077,6.265
332.347,245.462,6.397
461.856,247.916,6.431
471.68,247.563,6.144
616.509,247.61,6.546
559.765,251.886,6.322
479.62,254.074,5.949
295.621,255.53,6.612
501.111,254.504,6.175
590.878,253.601,6.617
606.707,251.917,6.259
280.953,254.21,6.802
401.836,255.516,6.551
337.788,257.145,6.405
527.113,255.41,6.009
569.441,255.458,6.206
351.481,257.49,6.395
388.815,255.906,6.135
549.616,258.807,6.66
375.926,258.404,6.409
412.793,258.114,5.841
514.271,257.116,6.092
600.779,260.957,6.564
618.779,260.977,6.661
445.147,262.36,6.412
475.319,265.552,6.278
342.681,269.123,6.481
355.248,269.067,6.663
543.518,268.884,6.759
373.815,273.178,6.341
553.981,274.049,6.901
373.139,286.74,7.032
522.882,132.302,7.611
399.75,133.708,6.842
350.526,137.921,7.595
417.535,136.897,7.278
562.085,138.386,7.438
427.436,141.635,7.105
339.832,143.389,7.135
381.207,143.765,7.126
459.237,144.372,7.167
517.62,144.458,6.961
599.726,146.281,7.326
539.049,146.799,6.938
371.933,152.074,6.379
548.099,151.96,6.876
630.04,151.888,7.155
432.228,152.265,6.767
387.505,154.153,6.602
304.664,156.336,6.894
454.913,154.246,6.087
323.287,156.9,6.962
594.866,157.141,6.651
537.052,158.9,7.011
261.065,158.521,8.078
359.341,159.062,6.178
505.967,159.086,6.344
621.985,160.091,6.642
583.711,162.276,6.053
371.621,163.359,6.369
463.448,164.098,6.546
547.492,163.349,6.127
603.327,167.047,6.522
381.923,164.519,5.962
392.462,166.923,6.147
652.573,164.923,6.643
613.652,167.272,5.652
412.475,169.748,6.351
442.127,167.949,6.165
513.442,168.212,6
572.569,169.373,6.431
286.344,173.171,6.912
536.458,170.583,6.365
374.908,175.586,6.092
646.33,174.49,6.32
352.612,176.219,6.554
448.518,177.5,6.239
563.841,176.656,6.006
397.837,176.685,5.957
582.315,176.167,6
273.339,177.625,6.366
341.493,178.159,5.826
419.417,178.524,5.762
459.385,178.5,5.788
504.381,178.024,5.833
386.197,179.131,5.672
515.116,181.014,6.184
534.865,181.135,6.18
407.642,181.932,6.189
574.133,181.542,5.976
657.022,182.993,6.206
308.787,185.498,6.381
