X,Y,Z
319.027,156.029,6.282
603.429,156.008,6.395
525.064,158.588,5.834
338.667,163.084,5.961
641.664,160.143,5.9
305.009,162.159,6.112
292.43,164.664,6.17
360.439,164.678,5.847
225.345,165.006,6.338
325.016,165.005,6.014
573.162,165.31,6.062
654.479,165.071,5.82
585.462,165.963,6.102
212.138,165.383,6.284
281.017,166.781,6.195
464.417,168.664,5.958
606.185,166.202,6.25
371,169.16,6.235
201.402,169.834,6.649
271.089,170.62,5.821
504.969,170.024,5.713
258.119,171.942,5.864
635.019,168.696,6
646.203,171.143,6.303
301.217,172.957,5.755
426.582,172.453,6.11
332.08,173.622,6.33
667.496,174.494,6.033
234.563,174.694,5.884
246.139,174.918,6.131
342.357,176.023,6.134
286.749,176.647,5.809
322.603,178.346,5.906
437.761,174.968,6.091
656.846,176.112,6.014
701.004,177.401,5.992
364.188,179.044,6.173
469.298,178.116,5.896
195.496,179.156,6.069
640.522,179.779,6.756
688.107,180.256,5.881
265.981,181.591,5.8
311.088,180.973,6.082
478.628,180.994,6.08
518.862,181.171,6.152
558.995,181.903,5.911
528.152,182.57,5.702
675.667,183.071,6.173
253.931,183.759,5.574
276.762,183.573,6.203
300.188,184.567,5.901
430.906,183.94,5.81
489.049,181.547,5.827
539.934,181.661,6.237
347.827,185.191,5.836
575.958,184.131,5.727
334.345,186.478,5.945
661.278,185.927,5.843
230.811,185.913,6.299
393.453,185.673,6.193
508.5,184.683,6.193
595.651,185.117,5.879
631.586,185.993,6.022
242.891,188.478,6.261
289.422,187.28,5.687
650.092,186.151,5.92
696.854,188.962,6.401
321.484,189.603,5.986
358.036,189.891,5.765
483.409,190.06,6.263
684.784,190.948,5.791
308.04,192.526,6.266
403.616,192.748,6.332
520.158,191.404,6.192
641.461,191.666,6.518
261.64,192.256,6.142
670.406,192.997,5.793
282.329,195.099,6.26
347.268,196.102,5.691
502.421,194.047,6.356
271.431,195.938,6.167
601.507,194.789,6.239
296.951,197.042,6.386
335.004,197.753,6.21
650.351,197.049,6.267
511.794,197.751,6.175
250.852,197.756,6.019
318.095,199.973,6.188
371.661,198.943,6.163
679.377,200.069,6.375
692.751,200.191,6.208
703.773,199.79,6.515
384.38,199.842,6.259
259.72,204.617,6.261
288.139,203.743,6.166
307.383,205.352,6.254
667.252,205.243,6.185
327.84,206.402,6.097
276.375,206.423,6.453
642.671,206.394,5.953
346.932,206.493,6.217
336.671,211.828,6.694
318.657,212.608,6.338
355.661,141.239,6.68
236.215,143.681,6.776
282.067,143.102,6.389
293.2,142.922,6.583
367.562,145.812,6.812
579.406,145.207,6.902
601.163,145.864,6.646
270.233,147.747,6.377
342.627,147.78,6.177
378.528,147.695,6.638
632.775,147.333,6.305
474.908,149.056,6.048
558.669,149.567,6.452
182.553,150.771,7.084
258.318,150.847,6.618
485.745,150.62,6.608
507.041,150.082,6.418
681.544,150.848,6.856
245.38,152.367,6.153
464.458,150.575,6.829
206.534,152.712,6.374
297.948,153.29,6.458
309.069,149.974,6.129
359.276,152.116,6.48
496.026,150.766,6.358
534.94,152.194,5.721
622.924,152.348,6.803
218.796,153.647,6.199
231.365,154.171,6.574
286.646,154.458,6.637
331.787,154.419,5.689
516.465,153.059,6.035
612.887,153.003,5.96
669.311,152.353,6.266
349.678,155.26,6.08
593.586,154.327,6.459
650.188,154.796,6.131
708.221,155.1,6.218
275.845,156.832,5.992
573.668,155.008,6.301
371.113,157.18,6.363
387.009,156.053,6.412
583.827,155.654,6.99
405.951,158.531,6.088
631.916,156.548,5.96
264.593,160.116,6.139
195.039,159.943,6.519
503.606,159.003,6.145
563.656,158.74,6.44
174,159.93,6.77
253.483,161.622,5.936
423.969,159.915,6.45
470.155,159.98,6.664
480.418,159.946,6.089
542.897,159.887,6.146
663.386,161.715,6.683
674.947,161.857,6.419
697.693,160.909,6.388
458.489,159.498,6.24
553.414,161.248,6.592
686.651,160.976,7.07
239.672,163.598,5.947
380.017,164.328,6.429
514.908,163.041,6.372
434.76,164.868,6.066
445.664,164.043,6.316
533.08,163.966,6.582
595.508,164.926,6.082
348.976,166.056,5.976
396.298,163.38,6.585
616.453,165.453,6.398
625.004,165.199,6.121
415.517,164.835,5.959
720.019,165.904,6.297
185.634,166.935,6.572
495.982,165.412,6.306
707.853,167.627,6.887
314.462,169.042,5.997
389.239,168.354,6.221
453.777,168.701,6.273
405.674,170.677,6.109
476.095,169.551,5.966
486.323,170.608,5.953
560.793,169.174,5.635
524.081,170.567,6.078
543.982,169.456,6.084
692.012,170.115,6.047
173.947,171.765,6.823
679.261,172.493,6.595
513.902,173.62,6.157
534.031,173.519,5.777
551.94,173.983,5.712
354.435,175.469,6.034
415.601,175.382,6.473
579.003,174.603,6.798
590.03,175.459,6.578
599.826,175.767,6.455
610.444,175.397,5.748
221.597,176.831,6.449
396.973,176.453,6.881
497.669,176.115,6.379
568.478,175.858,6.154
627.277,175.926,6.489
724.883,175.692,6.94
385.258,177.487,6.013
447.827,177.209,6.137
713.286,177.347,7.133
459.663,178.092,6.231
209.688,179.853,6.274
375.817,180.243,5.921
617.963,180.642,6.172
181.207,181.127,6.7
407.073,182.054,5.938
744.546,182.127,7.434
421.492,184.063,6.768
585.212,185.163,6.24
442.196,185,6.993
498.4,185.763,6.403
549.096,184.761,6.588
606.579,185.237,6.526
454.569,187.346,5.819
567.102,187.263,6.493
465.918,187.553,6.021
708.379,187.524,6.778
723.086,186.823,6.786
368.581,189.297,6.924
381.873,189.62,6.328
733.597,189.457,7.176
216.501,190.795,6.592
623.656,190.309,5.92
191.07,190.324,6.326
203.861,191.31,6.786
414.282,190.897,6.398
534.4,190.387,6.583
612.938,192.469,6.128
435.116,193.498,6.478
447.577,193.438,6.204
552.083,193.635,6.568
474.196,194.344,6.46
492.178,195.085,6.429
581.333,194.638,6.428
393.731,195.565,6.67
561.693,195.406,5.904
571.551,196.276,6.12
