X,Y,Z
632.162,157.615,7.176
643.325,159.438,7.063
674.867,167.609,6.663
708.615,174.588,7.217
696.067,174.854,7.293
472.538,140.346,8.009
375.507,141.914,8.478
593.229,142.549,7.876
463.544,143.854,8.252
688.756,145.779,8.124
268,146.662,7.604
577.709,145.926,8.159
254.942,148.701,8.144
340.037,149.55,8.66
383.834,149.53,8.102
638.852,148.916,7.885
586.484,150.256,7.569
651.816,150.311,7.997
597.336,152.034,7.853
607.044,152.798,8.276
616.882,151.826,7.908
662.844,152.67,8.486
232.499,153.637,7.981
287.202,153.654,7.486
696.653,153.93,7.008
296.935,157.115,8.344
361.857,156.529,8.496
672.139,156.408,7.22
350.453,157.923,8.128
416.845,156.871,8.335
683.171,158.086,7.668
710.842,158.251,7.792
722.801,159.259,8.016
579.624,158.108,8.641
765.887,159.787,8.476
262.775,159.425,8.634
589.95,160.864,7.495
653.809,161.287,7.483
384.87,161.368,8.156
612.546,161.9,7.673
221.42,161.73,8.813
455.108,161.449,7.753
505.231,163.432,7.131
554.504,161.684,7.921
600.459,163.836,7.241
623.837,163.203,7.656
516.537,164.208,7.962
691.869,164.985,7.83
703.034,164.389,6.919
753.973,163.208,8.543
274.56,164.569,8.211
572.318,164.41,7.395
662.872,164.589,7.379
285.424,166.245,8.106
305.276,165.555,8.194
322.165,166.949,8.41
435.066,165.926,8.187
253.971,168.572,8.165
357.591,167.215,8.305
423.645,167.686,8.341
464.156,167.063,8.112
482.762,168.308,7.703
635.066,167.922,7.241
581.745,169.924,8.344
718.555,169.912,7.366
367.769,168.402,8.682
647,170.556,6.93
295.468,169.935,8.357
592.307,171.139,7.604
209.682,168.949,8.456
265.917,172.609,7.871
685.091,173.439,7.094
537.948,172.03,7.705
558.754,173.227,7.765
617.003,172.605,7.992
242.488,175.255,7.777
347.381,172.485,8.314
508.786,174.321,7.224
656.945,173.886,7.414
731.693,171.336,7.756
490.49,174.093,8.392
760.595,172.974,8.328
528.958,175.085,7.604
419.455,178,8.294
568.934,176.256,8.088
431.032,177.745,8.655
545.313,179.014,7.292
638.063,178.354,8.091
675.447,180.227,7.212
598.314,178.896,8.384
369.878,180.965,8.687
726.479,180.927,8.202
340.231,180.892,8.361
482.725,181.153,8.005
536.159,182.384,8.082
588.712,181.588,8.111
715.755,183.196,7.621
751.237,182.318,8.02
649.885,181.588,7.785
703.74,185.029,7.865
609.297,183.185,7.491
619.546,184.154,8.129
659.401,186.355,7.107
692.521,185.356,7.912
762.96,185.497,8.254
682.175,187.087,7.16
628.888,188.184,8.126
669.724,190.621,7.853
593.859,192.708,7.776
722.114,193.372,7.422
651.856,193.144,7.048
534.9,193.352,7.504
688.353,196.194,7.256
698.489,196.71,7.925
678.897,199.447,7.444
704.363,206.899,8
593.167,128.359,7.808
662.062,129.062,7.736
356.318,135.595,9.29
501.672,133.679,7.737
689.771,132.805,9.087
709.141,135.755,7.809
439.166,136.698,9.275
612.353,137.403,8.97
679.282,136.038,7.885
250.297,137.647,8.195
698.229,138.52,7.897
227.28,139.302,8.257
603.379,139.212,7.455
718.896,137.917,8.677
387.84,139.584,8.801
647.404,140.41,7.91
658.663,140.256,7.683
343.12,139.047,9.132
631.888,140.777,7.888
669.253,140.179,7.802
294.283,142.423,7.871
620.906,141.544,9.032
763.593,140.927,8.66
303.623,141.629,9.178
559.775,142.844,7.751
282.94,142.161,8.06
518.597,143.342,7.329
497.898,144.678,8.337
507.942,144.616,8.353
528.536,144.51,7.725
541.618,145.028,8.028
241.407,146.569,8.729
352.77,146.646,8.793
365.139,145.574,9.409
418.959,145.471,8.172
407.183,146.695,8.515
444.803,145.393,9.09
784.732,147.015,8.903
677.526,147.976,8.012
703.41,147.166,8.059
716.063,148,7.738
455.071,149.652,8.503
726.987,147.554,8.146
551.647,149.539,7.551
569.148,149.313,8.06
627.372,149.497,7.874
772.457,149.779,8.894
220.055,150.421,8.647
395.765,150.352,9.077
759.027,151.203,8.342
194.697,151.364,9.288
306.518,152.507,8.439
490.189,150.675,8.325
207.811,153.924,8.441
276.808,152.737,8.455
474.838,151.564,9.053
796.064,151.369,9.172
436.316,153.652,8.616
511.824,154.335,7.882
522.973,154.263,8.08
533.884,153.868,7.653
560.889,154.189,8.467
501.315,154.185,7.851
746.819,154.547,8.448
317.314,156.48,9.025
374.049,156.356,9.098
465.411,155.407,8.759
329.621,156.789,8.598
427.442,156.696,8.799
483.781,156.574,7.814
545.653,156.389,7.41
406.239,158.265,8.662
445.733,156.956,8.692
780.811,158.312,8.975
185.707,159.474,8.943
245.59,159.684,8.914
733.919,157.111,8.043
340.436,160.895,8.557
396.197,161.991,8.274
473.51,161.699,8.716
198.666,163.299,8.584
537.808,162.437,7.847
792.199,163.363,8.451
492.917,163.151,7.474
804.019,161.049,8.878
527.341,164.867,7.712
741.68,164.695,8.109
564.235,164.127,8.397
234.025,167.297,8.893
772.486,167.764,8.821
445.299,167.45,8.846
548.322,168.529,8.514
333.748,170.721,8.903
411.861,169.181,8.997
377.627,170.542,9.361
784.151,171.658,8.66
