X,Y,Z
707.358,173.745,7.667
683.709,175.253,7.926
714.073,183.976,8.037
737.174,185.021,7.522
622.794,190.551,7.54
643.177,189.899,7.764
723.144,193.141,7.661
614.634,195.015,8.083
683.085,196.036,7.211
734.612,195.234,7.657
814.492,195.817,8.37
662.564,198,7.573
673.403,197.061,7.306
690.337,204.305,7.748
719.966,204.126,7.126
614.617,206.822,7.668
729.708,205.542,8.049
658.587,207.648,7.877
669.9,208.032,7.416
680.194,207.929,7.849
643.193,207.884,7.858
774.846,208.885,7.561
699.868,213.075,7.983
726.821,215.989,7.827
688.43,215.226,8.025
662.934,217.359,8.296
796.237,214.628,7.874
707.705,222.579,7.37
683.401,224.22,7.852
694.35,225.595,8.272
721.805,225.614,8.124
654.994,163.448,8.206
677.376,166.156,7.878
774.088,164.282,9.023
806.641,164.995,9.082
573.538,168.498,8.821
611.883,170.929,8.025
621.657,171.581,8.576
651.873,171.861,7.806
729.665,172.85,8.253
718.011,173.773,8.457
740.416,174.785,8.188
771.841,177.224,8.299
671.893,176.635,7.923
804.351,176.624,8.472
544.747,178.168,8.718
693.743,181.192,7.984
523.769,180.336,8.585
616.221,181.904,8.317
627.066,180.664,8.49
646.617,180.733,8.404
658.038,180.791,8.379
761.355,180.45,8.485
588.101,181.761,8.44
725.662,182.257,7.874
749.56,181.944,7.755
792.149,181.701,8.669
828.077,180.432,8.444
596.949,182.885,8.723
511.046,182.604,8.691
685.51,185.961,7.712
703.304,185.678,8.367
780.253,184.947,7.94
675.762,186.559,7.85
606.709,187.834,8.068
665.719,186.308,8.141
655.025,189.655,7.866
769.358,189.385,8.06
528.049,190.392,8.343
757.749,191.021,8.152
802.099,190.327,8.47
632.446,190.957,7.918
693.234,192.368,7.523
788.762,193.006,7.911
595.048,192.742,8.353
517.78,191.437,8.74
711.014,194.648,8.392
828.245,194.371,8.256
745.12,193.474,8.323
604.865,197.57,7.825
777.575,197.158,7.814
535.415,198.148,8.449
553.741,197.364,8.159
639.353,198.293,8.015
700.904,199.439,8.133
766.344,199.502,7.596
513.171,199.377,8.483
588.274,199.503,8.239
650.971,200.427,8.408
753.932,201.728,8.084
796.858,202.258,7.554
623.624,203.089,8.632
741.147,203.815,7.894
483.487,205.199,9.04
785.689,206.056,7.762
709.577,206.523,7.238
820.675,205.837,8.157
833.686,205.68,8.328
632.37,206.866,8.654
604.505,208.784,8.085
529.532,209.161,8.573
761.333,210.775,7.775
749.588,212.191,7.938
588.865,211.702,8.5
738.145,215.323,7.993
580.189,215.258,8.948
638.571,216.147,8.218
650.205,215.792,8.195
714.236,214.966,7.584
597.722,216.793,8.189
608.56,218.271,8.391
784.086,217.329,8.038
618.303,218.697,8.618
627.97,218.352,8.311
770.305,219.178,7.819
674,219.17,8.425
835.918,217.249,8.892
758.038,221.837,8.195
643.599,225.368,7.67
654.482,227.053,7.85
792.139,225.556,8.338
733.944,226.641,8.169
665.064,228.406,8.181
777.131,227.105,8.248
600.965,226.961,8.656
765.113,230.406,8.519
674.14,231.915,8.19
703.151,232.401,8.25
714.203,232.865,7.677
686.376,235.98,7.559
707.359,242.673,8.323
719.641,243.289,7.975
666.321,145.326,9.179
719.458,153.571,8.92
732.074,153.71,9.091
697.128,153.517,9.153
743.736,154.736,9.258
632.547,153.928,9.484
670.469,155.408,8.949
681.044,155.456,8.089
766.027,157.306,9.011
754.631,158.257,8.9
577.032,159.143,8.799
614.05,160.95,8.573
596.385,161.467,9.467
639.224,160.913,8.977
702.046,161.832,8.107
587.077,160.883,9.252
625.917,161.278,8.826
712.52,162.877,8.829
724.348,163.619,8.852
488.102,163.388,9.253
565.755,162.643,9.255
689.847,163.887,8.891
735.825,163.833,8.751
666.518,164.602,8.398
746.461,165.083,8.775
603.54,166.825,8.862
829.46,168.044,8.745
498.507,167.286,9.158
762.891,168.538,8.709
793.762,169.005,8.704
548.337,169.479,8.586
632.065,169.934,8.808
583.516,170.29,9.113
641.552,170.452,9.048
593.324,172.148,8.955
816.198,172.644,8.796
506.336,171.762,9.48
662.56,172.072,8.048
696.646,172.914,8.631
752.553,172.255,8.723
557.086,173.033,8.656
841.592,170.908,9.031
489.343,174.174,9.136
516.742,174.315,9.009
782.654,173.82,8.838
605.115,176.639,8.644
532.222,176.556,8.278
500.012,180.231,8.769
579.151,179.307,8.656
636.883,181.061,8.425
562.107,181.991,8.62
816.116,184.287,8.426
490.733,183.758,9.25
852.473,183.487,9.468
479.982,182.826,9.489
553.02,184.904,8.333
838.995,185.85,8.869
458.821,183.559,9.41
572.307,186.135,8.797
448.268,186.77,9.669
535.949,186.147,8.959
414.718,189.433,9.402
505.927,190.851,8.976
582.616,190.434,8.694
562.44,192.691,8.335
496.433,192.535,8.906
475.789,195.104,9.013
458.424,193.961,9.407
487.207,194.668,9.109
571.549,196.961,8.647
844.896,197.674,8.942
465.51,201.168,9.434
502.257,201.876,9.12
523.876,200.885,8.843
579.551,202.339,8.962
562.222,203.393,8.502
544.736,202.503,8.472
595.791,203.911,8.563
807.538,207.115,7.588
474.268,208.138,9.276
508.919,209.475,9.025
518.787,209.258,9.129
571.138,208.981,8.269
539.865,210.05,8.298
552.787,210.426,8.421
851.188,210.958,9.178
562.755,215.483,8.299
807.589,218.841,8.111
822.868,217.238,9.138
512.279,218.638,9.314
522.664,219.22,9.123
533.605,219.12,9.13
545.185,219.492,8.615
846.455,225.16,8.691
590.49,223.699,9.052
565.76,227.661,9.161
623.905,228.357,8.635
745.64,227.22,7.56
831.046,229.006,8.729
516.219,228.989,9.08
611.662,230.734,8.304
635.173,230.143,8.52
803.786,231.471,8.307
583.097,230.239,9.113
816.096,230.255,7.883
753.364,232.628,8.066
784.092,234.663,8.994
646.297,235.536,8.08
729.701,238.167,8.034
795.405,238.752,9.03
658.442,238.957,8.181
696.34,241.221,8.417
771.862,240.293,8.822
668.263,241.737,8.567
743.149,240.471,8.322
757.067,241.613,8.882
785.553,246.631,9.196
686.335,248.684,8.456
727.025,251.763,8.551
798.123,253.231,9.277
682.383,129.515,10.34
673.147,134.795,9.979
652.396,134.192,10.073
661.915,136.135,9.834
621.088,138.81,9.571
703.765,138.857,9.847
683.794,140.506,9.622
643.387,140.274,9.887
714.292,143.656,9.567
728.652,144.75,9.309
740.571,144.395,9.537
505.268,146.121,10.195
495.637,146.648,10.311
602.193,145.823,10.53
654.032,146.365,9.675
675.841,146.953,8.776
763.353,147.765,9.696
626.068,146.621,9.34
687.547,149.605,8.756
816.278,147.567,9.845
550.227,149.195,9.812
774.675,150.745,9.495
561.099,151.057,9.567
581.098,150.435,9.397
591.892,149.966,10.03
641.477,149.383,9.484
708.12,151.45,8.68
569.829,152.276,9.711
785.379,151.673,9.863
620.554,152.694,9.405
806.604,152.831,9.72
486.904,152.356,9.867
660.115,153.566,8.967
649.767,155.034,9.377
795.412,156.341,8.771
497.196,156.662,9.76
458.096,156.606,10.131
536.213,157.059,9.579
604.077,157.245,9.148
528.205,159.79,9.395
545.435,158.557,9.435
819.995,158.693,9.228
835.318,157.388,9.712
476.843,159.386,9.83
507.522,158.904,9.637
783.849,161.059,8.957
392.431,158.755,10.014
554.853,160.359,9.451
447.917,161.798,10.451
433.081,164.039,10.2
516.387,163.742,8.645
468.151,165.39,9.459
384.184,167.245,10.029
456.346,166.692,10.248
537.549,167.555,9.064
395.241,170.734,10.166
441.257,170.815,10.152
525.465,168.949,9.313
855.672,170.279,9.461
422.261,169.105,10.156
478.995,170.449,9.483
376.362,175.058,10.073
568.566,175.395,9.145
430.075,175.987,9.645
363.945,174.923,10.247
450.22,176.351,10.23
471.26,177.879,9.819
416.877,179.172,9.825
404.431,179.103,9.903
351.676,179.38,10.134
393.397,182.269,9.607
438.911,183.145,9.927
371.183,185.226,9.685
383.451,183.563,9.977
426.393,185.955,9.851
868.014,186.103,9.704
260.749,187.446,10.345
359.697,187.252,10.155
468.542,188.737,9.563
402.476,189.773,9.651
544.275,190.739,9.423
348.818,191.366,10.024
390.146,192.858,9.452
441.508,194.88,9.877
377.759,196.066,9.783
431.989,196.818,9.941
450.076,199.513,9.839
859.599,199.74,9.415
422.705,198.927,9.87
398.805,202.452,9.884
410.079,201.741,10.072
304.548,204.863,10.186
385.775,205.416,10.005
493.207,207.043,9.441
278.181,209.402,10.242
429.769,209.259,9.542
417.754,209.942,9.857
454.209,209.157,9.965
394.871,213.207,9.774
465.525,213.297,9.53
866.174,211.274,10.046
500.808,215.475,9.131
485.393,215.859,10.251
446.415,217.656,10.23
476.206,218.697,9.848
572.37,219.74,8.986
557,222.509,8.555
426.85,220.461,10.35
494.632,221.274,9.337
858.425,224.326,10.019
465.13,227.652,9.478
548.588,227.777,9.027
503.149,228.872,9.298
527.262,229.281,9.371
575.372,229.681,9.255
538.012,230.435,8.988
474.362,232.612,10.67
592.33,235.809,9.438
493.016,234.456,9.868
603.1,238.057,8.893
821.493,237.533,9.125
841.85,238.054,9.629
548.441,237.903,9.648
569.845,239.08,9.502
628.13,238.988,9.117
519.403,239.528,9.861
617.789,239.035,9.528
539.857,240.505,9.486
639.128,242.962,9.128
676.72,243.845,9.311
579.111,243.944,9.567
555.978,245.089,9.96
648.814,245.882,9.098
809.039,243.764,9.102
832.575,243.511,9.995
608.23,245.058,10.072
737.68,248.083,9.171
620.23,251.571,9.832
661.077,250.59,9.013
762.479,250.713,8.691
749.154,250.596,8.769
703.983,252.747,9.315
714.088,253.99,9.02
773.928,253.567,9.442
670.292,255.042,8.75
693.44,256.048,8.607
638.969,256.398,10.491
680.251,258.32,10.17
733.083,261.359,9.353
699.433,264.163,9.355
689.5,266.564,10.222
666.415,125.889,10.222
702.173,125.907,10.833
580.165,130.682,10.932
614.659,130.746,10.705
635.437,131.986,9.296
711.184,132.341,10.413
549.35,129.267,11.173
559.542,132.424,10.508
722.292,135.617,10.039
569.545,133.507,9.974
602.766,133.738,10.364
693.324,132.59,10.662
734.943,135.1,10.929
747.272,137.282,10.01
770.532,138.852,10.34
759.196,137.883,10.798
782.807,139.725,9.761
807.587,140.261,10.362
476.556,138.504,10.829
524.096,139.904,10.491
543.426,141.054,10.279
595.493,139.912,10.787
610.282,140.846,10.385
632.918,141.082,9.753
448.451,139.245,11.575
585.729,140.898,10.364
466.898,141.416,11.333
554.975,142.185,10.185
694.046,143.031,9.2
410.255,143.255,10.981
486.5,143.04,10.738
565.784,142.973,9.689
574,142.61,9.746
795.861,145.402,9.721
458.026,145.808,10.764
439.849,145.313,10.964
751.681,146.809,9.723
390.713,147.276,10.74
517.392,148.325,10.407
476.336,148.544,10.344
528.097,148.425,9.993
539.084,148.345,9.832
828.239,149.507,10.425
429.739,150.775,10.127
448.292,150.908,10.768
610.8,151.461,10.2
337.146,148.714,11.49
467.634,153.42,10.424
361.139,151.943,11.179
380.761,155.513,10.924
326.101,153.156,11.229
850.659,155.8,9.878
439.101,156.196,10.405
519.766,156.66,9.043
424.841,158.53,10.457
866.42,160.759,10.824
403.883,161.131,10.321
300.315,162.88,10.805
360.012,162.738,10.721
371.856,164.178,10.311
349.738,168.016,10.311
408.082,169.707,10.098
867.406,173.168,10.197
339.765,173.97,9.928
462.535,174.125,9.826
883.135,181.771,11.206
287.621,184.725,10.544
338.04,185.952,10.323
322.359,190.111,10.598
248.492,193.009,10.713
308.695,193.042,10.683
874.958,196.408,10.397
366.98,197.949,10.04
892.021,196.596,11.691
272.837,198.199,10.434
285.149,197.376,10.355
260.471,199.603,10.401
235.777,200.911,10.743
353.807,201.289,10.294
293.106,204.161,10.08
879.888,207.125,10.483
442.068,207.37,10.281
362.503,209.337,10.245
375.344,207.773,10.344
264.063,210.552,10.62
350.165,211.205,10.518
406.748,212.42,10.084
296.857,216,10.657
316.701,215.575,10.752
383.301,218.213,10.596
437.248,219.888,10.468
371.728,219.42,10.377
307.351,218.886,10.518
338.753,219.278,10.673
360.707,221.312,10.581
416.049,221.768,10.507
455.698,220.541,10.107
882.03,218.61,11.152
870.574,225.068,10.177
483.657,225.578,10.283
395.237,226.092,10.191
406.815,226.556,10.652
444.959,229.81,10.122
433.15,231.756,10.581
559.263,233.559,9.797
856.624,237.997,10.158
482.912,238.923,10.962
501.125,239.523,10.422
509.276,237.902,10.902
530.303,241.348,10.303
587.297,249.359,10.462
492.407,246.213,10.931
599.696,248.087,9.554
546.691,247.968,10.223
564,250.191,10.5
820.455,249.588,9.618
846.1,250.385,10.466
630.458,251.271,9.958
535.901,252.702,11.246
613.054,256.646,10.231
652.686,257.788,10.136
785.515,258.856,10.354
810.079,257.505,9.879
833.962,256.84,10.16
604.078,259.188,10.148
662.714,261.214,9.329
743.606,258.232,9.97
621.866,260.056,10.817
765.151,261.311,9.644
546.126,261.23,10.828
721.37,262.556,9.148
755.564,262.451,9.722
631.099,263.964,10.369
646.39,263.33,10.85
710.474,264.842,9.64
672.423,265.019,10.173
775.19,265.765,10.216
679.81,272.349,10.873
716.617,274.478,10.732
749.457,273.359,10.565
702.818,276.864,10.909
514.251,114.837,12.423
679.617,116.94,11.659
662.26,118.024,12.008
695.966,118.315,11.292
627.323,119.338,11.2
735.8,120.66,10.93
523.02,121.604,11.535
616.926,121.362,11.255
635.39,123.366,10.537
689.469,122.633,11.357
714.504,121.496,11.548
575.757,123.011,11.562
607.75,123.464,11.771
654.355,124.527,11.273
513.095,124.75,11.274
562.139,124.361,10.472
593.405,124.324,10.649
646.013,127.156,10.286
489.194,125.337,11.408
498.583,127.774,11.574
625.105,128.733,10.648
743.615,126.231,11.359
728.422,127.844,10.867
754.145,128.793,11.407
428.67,130.299,12.315
531.063,128.421,11.705
779.687,129.776,10.716
589.856,131.825,10.711
484.108,132.176,10.459
519.168,131.469,11.042
539.378,132.284,11.311
506.894,132.171,11.862
457.086,133.649,12.029
792.156,134.013,10.61
820.421,133.976,11.444
837.5,135.838,11.412
388.987,136.474,11.688
497.135,136.673,10.519
429.622,140.878,11.665
512.202,140.213,11
533.809,140.074,10.647
376.767,143.326,11.291
398.734,141.477,11.972
843.419,145.133,10.581
859.705,145.329,12.115
296.015,147.53,11.889
403.33,150.464,10.643
418.043,149.826,11.087
282,149.74,12.139
371.884,150.093,11.047
271.735,153.875,11.61
259.659,157.648,11.585
290.984,157.233,11.684
350.117,156.617,10.915
336.434,163.342,11.189
414.227,162.526,10.649
282.387,163.012,10.939
883.398,165.986,11.934
321.991,163.936,11.835
225.113,168.391,11.805
252.099,166.796,11.533
270.089,166.832,10.956
897.847,170.738,12.609
240.424,171.326,11.132
307.942,171.333,10.551
291.681,171.798,10.894
318.588,172.098,10.471
279.91,174.233,11.023
266.901,175.988,11.043
327.598,176.803,10.866
252.681,178.005,10.888
301.318,180.604,10.953
314.225,180.294,10.52
230.909,180.145,10.927
899.86,184.409,12.159
275.529,184.824,10.706
238.262,187.456,10.786
224.49,190.695,11.582
211.205,194.048,11.5
297.895,193.642,10.347
335.799,196.474,11.584
314.427,203.375,10.438
220.984,201.881,11.532
324.92,203.75,10.59
250.918,208.245,10.755
337.234,206.797,10.922
900.573,209.923,12.474
229.884,211.93,10.767
214.387,212.815,12.014
241.058,216.876,11.697
286.193,214.939,10.632
327.113,217.713,10.974
274.141,221.718,10.821
350.515,222.577,10.8
895.533,223.495,12.246
315.788,228.712,11.777
284.27,229.937,11.476
293.994,229.96,11.477
331.171,230.455,11.293
367.44,230.761,10.701
454.66,230.53,10.53
377.157,230.35,11.136
882.787,231.753,11.997
261.57,233.967,11.868
419.408,232.398,11.726
305.9,233.967,10.983
386.541,231.835,11.707
274.198,238.718,11.977
463.868,236.605,10.105
409.301,237.313,11.422
871.607,240.421,11.939
428.311,242.033,11.858
451.609,240.37,11.228
440.433,241.043,11.312
368.318,243.659,11.811
471.618,244.016,11.371
458.699,247.916,11.548
503.717,252.034,10.717
513.905,249.714,10.452
524.348,251.478,11.174
861.102,252.584,11.843
554.227,256.484,10.859
571.174,254.593,11.651
469.406,255.267,11.515
495.463,259.529,11.787
593.896,258.828,11.5
515.675,259.638,11.25
563.893,260.067,10.693
822.065,259.776,10.776
585.545,264.909,11.636
801.17,267.794,10.952
639.184,269.169,11.382
651.024,271.64,11.016
727.196,269.643,10.089
784.902,270.72,10.854
736.615,271.802,10.637
661.667,271.769,10.462
760.236,273.436,11.236
690.274,280.041,11.315
