X,Y,Z
397.926,166.907,7.856
356.275,169.115,8.377
384.937,169.21,7.59
430.328,168.477,8.229
420.102,174.551,7.852
329.965,174.409,8.111
370.441,176.074,7.662
408.82,177.002,7.955
488.303,175.592,7.998
563.501,176.333,8.29
395.813,178.679,7.779
574.578,179.064,8.26
359.324,181.913,7.451
432.977,180.858,7.986
602.068,180.182,8.065
651.866,180.334,8.24
383.004,181.445,7.503
465.793,181.614,8.457
337.166,182.872,7.962
420.491,187.685,7.7
405.437,189.47,7.554
374.918,190.399,7.425
456.032,186.637,8.287
640.344,188.118,7.725
392,190.824,7.95
475.77,189.054,8.242
433.248,192.599,7.453
361.15,194.257,7.545
512.519,190.899,7.941
500.28,194.102,8.36
444.939,193.258,7.997
464.21,195.077,8.022
414.929,198.35,7.275
560.842,197.028,7.763
347.508,199.444,7.454
482.215,198.634,8.199
648.417,195.517,8.011
540.351,200.078,8.089
386.906,200.76,7.642
453.64,200.825,7.91
428.4,202.865,8.002
472.258,202.221,8.839
662.666,201.488,8.514
400.225,202.229,7.872
372.331,204.294,7.552
441.993,204.949,8.441
335.305,207.422,7.379
358.631,206.787,7.804
609.085,207.521,8.512
461.382,208.934,8.539
552.938,207.324,8.077
410.944,210.099,7.922
346.684,212.467,7.709
672.532,210.2,8.305
311.611,213.135,8.274
383.753,211.489,7.778
423.617,212.904,7.756
541.941,211.333,7.933
397.614,214.518,7.718
599.399,216.272,8.412
437.453,216.004,8.081
450.717,216.297,8.141
358.657,219.669,7.964
371.597,218.133,7.814
386.253,222.308,7.542
533.236,220.082,7.964
463.243,221.465,8.029
341.947,223.308,8.169
428.112,224.243,7.974
660.8,226.323,7.881
451.713,227.477,8.109
404.539,225.268,8.191
606.175,225.99,8.076
393.936,230.744,7.874
475.946,229.461,8.183
560.198,229.567,8.795
363.013,230.378,8.276
462.696,232.69,8.306
549.667,235.678,8.101
606.431,237.316,8.527
447.652,238.089,8.731
426.494,247.56,8.626
396.508,143.046,8.235
363.104,147.285,8.684
427.74,149.064,8.067
465.704,145.525,8.366
623.177,147.628,9.237
374.599,152.017,7.788
703.411,150.786,8.665
715.373,148.705,9.072
325.527,152.922,8.906
351.503,153.052,8.681
400.73,154.087,7.579
472.734,154.343,9.246
386.821,156.908,7.844
361.267,158.896,8.437
436.542,158.451,8.561
449.243,159.676,8.319
460.714,158.03,8.399
683.989,159.414,8.343
731.125,159.106,8.498
421.95,160.319,7.841
410.241,162.909,7.448
717.846,160.287,8.614
584.796,161.327,8.403
614.506,162.547,8.073
321.981,165.194,8.199
371.587,164.326,7.776
518.509,162.618,8.665
705.952,163.2,8.183
775.255,163.13,9.353
478.908,165.005,8.272
491.743,164.699,7.943
560.615,164.032,8.206
596.839,165.08,7.942
645.979,165.844,7.725
670.661,165.411,8.224
741.841,165.073,8.671
572.141,166.647,8.642
635.534,166.627,8.318
763.762,164.696,9.041
284.832,166.941,9.227
467.15,168.167,7.758
503.38,168.129,8.593
624.494,168.576,8.395
537.643,167.895,8.621
442.635,170.349,8.036
683.502,170.249,8.474
727.171,170.764,8.199
752.116,170.538,8.903
605.97,170.476,8.616
714.863,172.024,8.226
526.51,172.243,9.196
582.563,171.395,7.836
660.508,172.161,7.983
455.821,172.266,8.953
515.137,173.011,7.804
551.767,172.161,8.106
297.567,174.82,8.414
317.762,175.662,8.346
346.378,174.332,8.29
261.673,174.561,9.106
274.285,175.643,8.82
476.659,176.647,8.331
673.436,175.382,7.978
739.255,176.294,8.216
615.522,175.87,8.548
692.148,177.546,8.078
764.305,176.334,8.48
542.273,177.258,8.393
642.029,176.968,8.905
704.152,178.2,8.661
629.676,178.771,8.175
446.09,180.646,7.751
497.777,181.231,8.08
508.032,181.498,8.37
588.091,181.223,8.072
308.558,183.314,7.894
726.14,182.693,8.297
286.722,180.794,8.602
532.11,181.382,8.561
663.815,182.521,8.252
751.599,181.728,8.651
554.158,183.065,8.313
714.602,184.254,7.953
322.841,186.837,7.678
347.726,187.014,7.596
522.603,185.949,9.199
617.263,185.923,8.305
487.94,188.343,7.971
683.945,186.657,8.351
737.482,186.4,8.568
542.448,187.763,7.884
565.438,187.629,8.295
627.746,189.275,7.773
673.718,187.659,8.276
695.645,188.435,8.265
764.587,187.197,8.881
297.871,188.092,8.656
594.702,189.038,8.235
579.812,189.951,8.258
779.794,187.939,9.487
604.907,192.026,7.987
659.475,191.66,8.188
705.475,192.223,8.178
530.969,193.23,7.65
314.367,194.651,7.931
334.728,194.683,7.844
550.273,195.495,7.85
714.866,195.76,7.813
726.178,195.918,8.428
615.736,197.033,8.093
686.846,196.663,7.901
738.049,196.848,8.175
293.124,197.754,8.721
571.253,198.198,8.875
673.815,198.146,8.301
771.775,196.137,9.285
587.422,198.591,7.822
322.609,202.985,7.376
522.07,199.793,8.244
598.684,202.394,7.823
627.515,200.651,8.087
638.533,200.708,8.404
698.093,201.455,8.058
304.852,201.759,8.427
491.714,204.024,8.152
512.231,203.851,7.927
501.814,206.05,7.937
745.551,204.391,8.339
578.969,204.737,8.247
682.812,206.304,8.269
651.857,206.73,8.174
766.188,205.751,9.249
529.564,207.505,7.674
565.247,208.47,8.365
717.742,207.098,8.169
732.379,207.566,8.247
620.826,209.479,8.372
706.68,210.151,8.527
589.919,209.321,8.515
483.497,211.013,8.446
631.054,211.821,7.938
754.64,210.982,8.712
661.984,213.16,8.257
693.974,211.592,8.36
298.314,211.196,8.955
642.357,213.347,8.344
276.181,213.689,9.062
473.685,215.211,8.007
520.559,213.867,8.967
507.056,215.615,8.056
576.445,215.209,8.375
495.723,217.34,7.713
613.569,217.881,8.106
328.844,216.942,7.51
554.649,218.482,8.142
651.209,217.938,8.432
724.824,215.836,8.499
683.474,218.385,8.776
565.735,220.012,7.832
713.991,220.093,8.242
484.939,222.526,7.654
586.485,220.276,8.289
698.512,221.165,8.064
415.521,222.997,7.628
514.61,223.594,8.251
625.544,223.021,8.056
671.943,222.618,8.297
753.533,222.011,9.144
545.271,224.561,8.068
636.939,223.939,8.281
440.541,228.262,8.143
574.481,226.947,8.435
323.191,225.929,8.152
500.022,228.083,7.633
596.05,229.104,8.684
648.747,228.114,8.779
524.498,227.553,9.07
616.994,230.232,8.195
349.32,233.096,8.084
585.401,230.694,7.901
377.679,230.94,7.77
537.144,231.36,8.592
336.829,234.174,8.57
510.015,233.281,8.352
684.94,229.884,8.357
638.518,234.671,8.59
417.512,235.237,8.453
429.345,236.579,7.597
487.447,234.203,8.041
674.572,232.609,9.178
625.76,236.128,8.663
570.466,236.78,9.046
403.976,238.264,8.24
519.556,239.224,8.316
326.426,237.854,8.986
594.059,240.263,8.593
530.657,240.789,7.949
581.205,240.019,8.474
664.198,238.192,8.667
387.712,241.683,8.127
473.317,240.773,8.375
560.869,241.678,8.751
651.911,238.808,8.123
361.18,242.034,8.379
499.445,240.575,8.144
374.814,240.919,8.043
459.652,243.687,8.123
614.35,245.201,8.363
345.254,245.777,8.345
437.611,244.142,8.578
541.56,243.978,8.542
634.834,244.928,8.975
488.308,244.707,8.774
509.774,245.458,9.09
412.184,247.701,8.477
552.398,248.647,8.833
574.525,249.239,8.895
601.387,248.584,8.543
624.226,247.596,9.175
659.143,248.267,9.135
522.346,250.381,8.64
398.431,250.123,8.677
447.04,250.942,8.753
478.972,250.668,8.495
532.942,252.047,9.297
371.419,252.01,8.685
384.234,253.262,8.835
467.037,252.294,8.954
564.091,253.862,9.229
510.798,257.314,8.71
454.868,259.295,8.83
489.787,257.943,9.242
406.796,127.425,9.108
393.526,130.745,9.255
431.794,135.014,8.974
381.396,133.166,8.953
602.852,132.936,9.996
640.305,134.936,8.992
355.342,136.173,9.334
368.042,136.308,8.781
457.169,136.98,8.915
407.87,139.325,8.762
660.74,139.284,9.608
695.267,140.186,9.619
420.681,140.481,8.957
321.78,141.372,9.207
333.307,142.398,9.67
344.787,142.541,9.079
476.398,141.104,9.689
594.248,142.27,9.27
632.748,142.821,9.219
284.136,140.375,9.839
556.257,141.311,9.437
746.708,140.743,10.134
498.589,143.067,9.455
543.386,142.691,9.492
487.888,143.176,8.824
575.291,144.906,9.266
310.58,145.497,9.716
384.717,146.688,9.1
440.766,144.755,8.17
604.398,146.236,9.242
452.56,148.137,8.996
532.665,147.7,9.568
686.947,147.733,8.667
291.91,150.074,9.619
412.517,151.163,8.342
725.859,149.724,8.38
756.379,147.868,9.221
266.137,150.147,9.295
521.267,151.108,9.275
562.551,151.593,9.003
660.231,151.065,8.643
549.77,151.062,8.607
302.464,152.794,8.875
586.646,151.507,8.726
614.262,152.314,8.76
767.204,152.104,9.466
279.877,152.754,9.851
484,153.686,8.775
508.209,153.443,8.577
637.788,154.029,9.151
743.51,153.223,9.85
340.664,154.961,8.409
497.47,154.211,8.845
574.407,154.716,8.289
649.249,154.845,8.71
540.714,156.368,8.936
672.026,148.73,8.454
313.628,156.984,8.825
603.749,156.351,8.228
754.138,157.502,8.409
625.587,158.094,8.693
788.228,158.35,9.796
529.443,159.658,9.351
272.405,162.743,9.325
551,161.82,8.778
296.286,161.784,8.986
656.875,162.917,8.427
259.796,162.682,9.845
335.792,163.43,8.753
233.361,165.701,10.086
248.287,166.075,9.578
307.557,167.967,8.313
696.408,165.49,7.755
798.233,167.29,9.903
785.005,169.708,9.099
811.085,169.557,9.918
223.412,173.403,9.835
775.752,176.927,8.839
239.801,176.973,9.866
801.289,178.05,9.585
788.932,180.301,10.109
251.547,183.233,9.338
217.124,183.942,9.362
232.052,186.164,10.117
268.903,186.825,8.99
804.09,188.379,10.099
245.274,192.803,9.602
280.657,192.165,8.667
750.693,192.675,7.741
792.601,191.964,9.747
260.575,193.743,9.514
758.714,198.088,8.357
235.226,199.818,9.408
273.761,199.919,9.037
784.202,199.217,9.872
250.989,203.974,9.107
794.603,204.088,10.038
263.067,206.791,9.129
286.401,207.521,8.996
777.384,208.832,9.538
239.106,212.178,9.866
740.704,216.252,8.421
789.475,214.136,10.291
252.668,216.826,9.36
765.811,217.047,9.307
303,224.268,8.666
777.278,220.236,9.922
281.498,224.627,8.802
291.757,221.684,9.541
730.021,225.282,9.081
743.335,225.572,8.613
706.931,229.066,8.712
312.455,231.702,8.782
695.465,233.19,8.176
717.194,231.622,9.083
738.06,235.388,9.892
727.362,237.197,9.53
707.007,239.264,9.538
316.297,243.53,9.361
719.523,243.723,9.691
645.659,245.706,9.365
670.636,247.533,9.658
691.371,250.711,9.18
332.735,249.332,9.66
498.955,252.316,8.646
680.618,251.21,9.567
709.469,250.258,9.722
357.595,254.459,9.125
652.092,256.223,8.884
421.784,258.584,8.575
434.973,257.275,8.962
543.594,257.776,8.533
607.488,257.424,9.058
618.136,256.965,9.422
407.655,259.275,9.092
628.562,258.91,9.528
345.995,259.161,9.51
392.446,261.596,9.143
596.562,259.545,9.316
476.907,260.828,8.961
554.529,261.335,8.752
572.56,261.629,8.964
524.146,262.597,8.757
443.961,265.617,9.443
500.04,264.507,9.685
536.06,265.519,9.111
485.86,269.322,9.488
514.467,269.135,9.211
605.24,268.76,10.02
402.688,270.859,9.535
416.35,269.732,9.698
456.058,271.137,10.219
398.639,117.406,10.064
352.519,123.485,9.902
438.722,123.617,9.888
695.247,123.051,9.798
730.1,122.786,10.613
366.935,124.322,9.363
382.518,122.574,9.44
451.016,126.457,10.023
662.421,125.875,10.383
631.18,127.209,10.126
420.612,127.2,9.131
615.599,125.159,9.924
328.066,129.6,10.472
720.03,128.757,9.63
685.797,128.876,9.392
340.942,130.609,9.857
465.755,129.764,9.934
559.85,130.095,10.01
548.615,131.532,9.819
703.882,130.73,9.73
311.033,133.239,10.121
536.407,133.076,9.699
589.55,130.682,9.623
651.042,131.533,9.575
737.881,131.554,9.86
486.502,132.629,9.856
516.917,132.161,9.829
623.101,134.891,9.514
445,135.911,8.918
759.054,136.916,9.878
256.843,138.415,10.556
567.148,138.898,9.471
612.411,137.543,9.263
271.203,139.34,9.993
525.086,138.93,9.22
682.721,137.993,9.081
724.864,138.175,9.844
298.886,139.375,10.405
708.651,139.991,9.165
770.888,140.131,10.231
583.432,139.47,9.311
735.963,142.393,9.051
649.046,142.464,8.569
241.112,142.942,10.438
512.215,144.258,9.462
224.42,146.481,10.874
790.93,145.696,10.49
779.707,148.044,9.598
251.326,152.12,9.799
236.662,154.198,10.205
799.671,154.481,9.802
695.667,157.685,8.426
810.396,157.784,10.58
220.389,160.343,10.432
195.701,164.237,10.886
208.692,167.504,9.845
185.761,170.051,10.621
823.028,173.046,10.52
202.018,178.208,10.14
812.844,181.363,10.743
185.764,181.674,10.463
195.941,190.93,10.996
182.155,192.672,11.367
208.123,193.31,10.519
816.54,193.948,11.166
221.098,197.036,10.197
805.535,200.205,10.214
195.488,204.517,10.59
209.97,206.349,10.76
224.671,209.603,10.126
803.971,212.154,10.645
215.495,220.288,11.183
265.424,221.305,9.444
230.934,221.816,10.376
799.332,222.246,10.943
243.193,227.375,10.577
256.757,228.978,10.285
764.089,228.025,10.071
787.172,227.106,10.466
272.427,231.562,10.043
751.646,234.463,9.749
774.69,232.448,10.163
301.38,237.12,9.231
683.624,240.588,9.286
762.161,240.963,10.124
287.48,241.075,10.87
696.785,241.752,9.545
745.877,245.324,9.95
297.567,246.8,10.012
