X,Y,Z
486.489,200.956,6.189
540.423,208.634,5.873
598.422,209.818,6.058
405.24,212.267,5.883
585.741,211.219,5.918
392.432,213.722,6.063
366.864,215.514,5.578
551.387,215.998,5.988
626.381,215.157,6.193
576.186,219.896,5.883
415.594,220.331,6.163
502.707,221.964,5.667
539.796,222.939,5.998
462.906,224.296,5.911
331.307,224.242,6.12
358.154,224.548,5.88
490.279,228.877,5.847
551.722,228.725,5.875
372.131,232.439,5.739
321.039,232.366,6.126
347.091,234.078,6.114
418.479,234.581,5.942
457.444,234.502,5.762
577.711,234.041,5.803
472.752,234.395,6.088
333.944,237.496,5.701
522.879,236.313,5.685
537.414,236.973,6.091
563.448,237.768,5.753
435.208,237.623,5.806
484.887,239.172,5.876
593.517,237.025,5.602
501.197,238.133,6.39
669.017,239.373,6.11
447.884,244.189,5.95
384.932,244.892,6.028
462.444,244.659,6.021
409.531,246.432,5.584
584.057,246.36,6.089
610.623,245.213,5.861
372.27,245.927,6.13
655.811,246.597,5.684
321.004,247.256,6.106
347.69,249.291,5.864
422.746,247.396,5.699
527.897,247.635,5.95
492.119,249.264,6.178
598.269,249.341,5.933
679.798,249.868,6.177
436.61,249.928,6.228
505.981,252.638,5.527
640.5,252.867,5.478
667.954,253.477,6.218
398.916,256.579,5.914
384.49,256.87,5.584
519.867,257.575,6.187
619.642,257.852,5.54
429.46,259.938,5.703
575.664,259.727,5.586
470.293,260.514,5.819
484.012,258.887,5.87
589.966,259.317,5.402
605.851,259.21,5.832
341.962,261.414,5.503
445.611,259.747,5.787
546.367,261.477,5.556
497.622,262.625,5.801
374.77,268.744,5.494
629.145,267.141,5.853
478.296,269.968,5.78
523.574,270.623,5.486
569.547,270.145,5.642
614.704,270.102,5.996
406.062,269.221,6.108
421.119,270.581,5.874
434.082,271.727,5.934
489.937,273.452,5.467
447.373,273.41,5.566
550.08,273.414,5.655
599.394,271.179,6.268
501.935,276.399,5.556
395.471,279.145,5.94
577.145,280.121,5.381
613.955,282.814,5.987
479.105,283.583,5.957
602.064,284.955,5.723
549.748,288.112,5.755
444.216,287.125,5.722
502.857,290.599,5.906
494.735,174.109,6.941
544.141,181.025,6.689
531.82,182.427,7.207
427.56,184.139,6.816
440.496,183.898,6.717
359.579,186.156,6.467
456.216,183.641,7.237
506.478,186.428,6.666
477.008,188.237,6.465
491.149,187.182,7.064
323.177,188.501,6.956
337.697,189.326,6.512
622.701,188.647,7.297
403.358,188.642,6.635
372.208,190.246,6.513
554.012,190.185,6.761
388.302,190.849,6.754
447.443,194.474,6.485
579.065,192.454,6.605
463.958,194.09,6.732
636.184,193.102,6.648
349.182,195.178,6.956
539.842,195.21,6.657
432.11,196.17,6.596
602.136,196.888,6.307
500.141,197.584,6.414
564.828,197.499,6.426
678.85,195.918,7.359
360.539,199.639,6.331
514.332,198.761,6.444
613.878,197.589,6.385
330.136,200.12,6.482
589.231,198.456,6.369
652.543,199.045,6.075
316.208,201.183,6.037
372.701,201.255,6.087
399.367,201.005,6.528
412.744,201.256,5.86
474.385,202.576,6.261
625.795,201.845,6.209
386.609,201.66,6.058
527.505,201.611,6.634
552.021,203.203,6.446
454.847,204.38,6.378
575.219,204.448,6.198
342.245,205.708,6.464
423.527,205.663,6.492
638.98,204.961,6.715
688.195,205.323,7.282
440.102,207.363,6.41
507.406,208.297,5.603
674.91,209.009,6.267
613.064,210.188,6.534
662.591,211.685,6.372
307.966,209.359,6.941
354.313,211.491,5.97
379.592,212.274,6.196
495.056,211.559,6.03
564.38,211.955,6.425
465.645,211.554,6.455
650.511,213.082,6.468
331.53,212.021,6.288
528.881,213.769,5.765
428.904,215.59,5.843
318.242,217.167,5.944
452.697,216.404,6.522
485.722,217.67,5.939
638.874,218.558,6.425
441.436,219.982,5.759
681.864,220.094,6.358
474.872,220.111,6.521
344.22,221.184,6.473
297.56,220.641,6.955
380.355,223.306,5.522
563.815,224.763,5.723
616.222,223.826,6.371
667.567,223.539,6.111
399.758,224.15,5.991
526.817,224.523,5.373
589.044,225.376,6.003
706.891,223.637,6.629
428.585,226.905,5.744
285.793,226.966,7.053
650.064,226.264,6.061
308.696,226.441,6.235
513.805,227.189,6.137
633.37,228.312,5.979
446.176,230.211,6.162
692.892,228.526,6.549
388.961,232.07,6.249
605.878,232.256,5.272
658.453,233.605,6.111
680.643,234.393,6.611
405.822,233.632,6.352
622.122,235.508,6.253
297.925,234.757,6.569
358.907,238.705,5.788
646.097,238.545,5.951
702.119,238.027,6.799
634.967,241.081,5.852
309.758,240.608,6.426
549.23,241.155,5.776
396.91,242.729,6.207
513.572,244.06,5.828
691.378,243.689,6.042
570.854,247.701,6.143
475.551,248.451,6.17
624.503,248.233,5.866
334.874,249.518,6.345
541.598,250.589,5.736
557.922,251.046,6.06
360.069,250.517,6.252
308.67,253.798,6.194
458.437,254.802,6.296
369.798,258.139,6.331
413.933,258.797,5.927
655.013,259.519,6.173
327.045,259.67,6.387
533.167,261.587,6.213
559.357,263.188,6.45
684.039,261.667,6.562
356.923,264.353,6.366
509.986,265.186,6.468
315.23,264.818,6.69
457.571,267.394,5.973
642.361,265.663,5.794
665.951,267.744,6.118
390.846,267.243,5.881
585.039,269.5,5.952
331.585,271.674,6.315
346.413,273.294,6.417
537.178,274.508,6.523
653.283,274.137,6.371
363.331,276.034,5.873
466.645,276.496,6.258
559.914,279.533,5.883
380.363,278.909,5.895
625.777,280.711,6.527
639.082,278.415,6.145
419.458,282.605,5.793
512.776,281.259,5.918
407.6,282.929,5.931
455.952,282.663,6.465
589.591,283.623,6.194
526.325,282.905,6.377
663.878,282.027,7.004
324.271,283.446,6.296
432.532,284.827,6.13
353.152,286.154,6.122
339.16,284.723,6.312
491.252,287.753,5.7
467.127,290.746,5.947
536.953,289.564,5.925
567.994,288.378,5.97
368.871,288.749,6.614
385.139,290.66,6.01
398.616,291.991,6.491
517.021,293.178,6.287
578.79,294.178,6.386
635.247,292.015,6.487
424.559,295.972,6.21
453.419,296.052,6.115
478.867,297.588,5.843
590.973,297.111,6.307
410.804,298.068,5.936
529.164,298.531,5.862
606.194,296.808,6.532
346.143,298.331,6.744
440,300.181,6.5
492.282,300.757,6.042
543.803,301.928,5.777
560.281,299.934,5.884
376.169,301.614,6.312
506.504,303.193,6.284
465.831,304.013,6.114
390.275,303.346,6.278
573.099,305.785,6.567
517.989,308.08,6.595
602.575,308.668,7.202
430.455,308.904,6.672
530.562,311.134,6.533
493.39,312.958,6.44
475.416,163.372,7.764
345.198,166.193,7.698
461.123,167.551,7.518
531.06,169.711,7.276
585.858,170.077,7.671
356.562,172.369,7.425
645.311,172.656,8.128
447.809,173.526,6.828
482.145,175.457,7.455
421.415,174.532,7.407
506.589,173.675,7.61
600.558,174.481,7.247
333.554,176.094,7.421
556.786,175.642,6.506
369.135,176.792,7.652
615.409,177.013,6.789
394.66,177.535,6.335
408.826,177.849,7.272
469.118,177.682,7.437
518.674,178.924,7.297
346.931,180.01,7.382
381.54,180.61,6.784
579.957,180.353,6.766
633.018,179.344,7.093
567.055,184.964,7.114
592.207,185.035,7.382
644.607,184.946,7.458
667.547,185.443,7.195
606.539,185.288,6.695
309.007,186.51,7.248
655.346,187.739,6.952
417.018,190.585,6.665
523.216,190.86,6.968
690.819,191.121,7.689
299.046,195.627,6.784
666.188,197.815,6.639
283.707,198.909,7.035
701.106,202.684,7.224
295.765,208.647,7.274
713.372,211.318,7.417
283.683,213.257,6.889
516.898,213.955,6.675
696.719,215.542,6.956
272.374,220.778,7.33
602.784,221.509,6.385
721.823,223.151,7.517
734.927,222.756,8.073
714.957,234.534,7.444
274.164,234.595,7.547
286.918,240.077,6.834
728.318,237.073,7.57
710.501,247,6.842
279.761,250.293,7.291
295.829,251.466,6.872
722.639,251.391,7.605
697.368,255.458,6.365
709.037,260.104,7.04
287.087,263.079,7.351
301.389,265.916,7.191
696.305,268.622,7.382
677.333,274.074,6.78
289.667,276.611,7.69
313.517,276.557,6.733
301.685,281.296,7.225
688.566,281.584,7.475
700.667,281.372,8.155
648.739,287.413,6.739
676.685,287.106,7.063
330.168,295.44,7.381
620.784,294.734,6.782
656.725,296.532,7.236
360.751,302.269,7.064
643.294,302.048,7.214
629.349,304.634,7.135
615.592,306.925,6.991
417.597,307.875,6.916
452.707,309.097,6.707
589.535,308.633,6.775
555.397,310.257,6.371
402.361,308.796,7.417
481.585,310.445,6.183
441.061,316.018,6.867
467.581,315.607,6.865
541.891,315.253,7.406
566.024,318.121,7.18
579.954,317.248,7.421
504.605,318.44,6.745
516.91,320.905,6.54
453.204,323.097,6.694
529.92,324.19,6.901
482.525,149.226,8.996
469.342,151.698,8.117
457.059,153.465,8
377.882,156.043,7.706
547.217,155.401,8.83
390.682,158.205,7.936
433.79,156.923,8.164
570.732,158.374,8.509
533.316,158.901,7.941
583.443,158.054,8.19
628.775,158.708,8.142
641.594,160.787,8.319
332.307,162.848,8.12
408.997,161.726,8.25
489.311,162.491,7.927
595.513,161.834,8.063
366.23,163.218,7.872
446.73,162.495,7.967
503.359,162.687,8.012
421.898,163.048,7.826
518.597,164.369,8.548
557.502,164.526,8.052
399.067,167.738,7.243
610.659,166.692,8.147
383.073,168.939,7.732
434.604,169.431,7.16
544.983,169.176,7.941
570.646,171.708,8.091
626.675,170.401,7.924
305.758,171.734,8.087
685.037,170.937,8.729
659.694,174.339,7.606
318.838,175.357,7.25
296.816,181.589,7.863
679.634,182.862,7.991
704.234,189.362,8.207
715.131,197.055,7.85
729.628,197.927,8.403
271.97,206.56,7.759
738.692,207.964,8.728
726.318,210,7.882
260.617,215.069,8.457
748.107,220.6,8.69
260.53,229.475,8.239
743.215,234.138,8.241
250.596,240.956,8.085
266.337,245.18,7.589
751.771,243.691,8.874
735.522,246.391,8.098
273.257,261.636,7.939
720.733,264.191,8.202
733.511,264.519,8.529
711.113,274.553,7.899
275.76,275.388,7.808
723.513,278.926,8.934
312.378,290.606,7.842
712.417,288.329,8.476
295.623,294.123,7.829
698.225,295.257,8.095
670.235,296.471,7.504
685.886,296.435,8.94
318.235,304.597,7.383
335.846,308.253,7.545
662.897,306.543,8.195
650.101,312.523,7.899
349.655,311.821,7.92
385.622,314.666,7.65
372.819,314.462,7.681
597.183,319.748,7.716
623.346,318.028,7.857
361.873,318.665,8.124
414.102,320.199,7.71
610.791,319.779,8.227
401.952,321.907,7.693
427.143,321.632,7.72
480.086,322.126,6.833
552.502,324.858,7.174
378.248,326.943,8.466
390.894,327.654,7.774
573.633,328.507,8.357
491.141,328.747,7.129
587.176,327.837,8.115
465.854,330.832,7.616
438.855,330.939,7.615
506.023,332.138,7.471
518.317,332.074,7.722
534.191,335.557,7.626
407.798,143.472,9.213
383.728,145.728,9.008
580.028,145.954,9.191
537.693,148.162,9.435
592.894,148.923,9.181
367.564,149.446,8.876
445.84,150.616,9.286
523.717,150.28,9.038
637.431,149.029,9.139
496.112,151.17,9.061
339.829,151.317,8.984
399.041,151.679,8.779
417.852,152.47,8.744
325.213,151.908,9.577
511.709,152.564,8.811
558.622,153.016,9.427
604.006,154.695,8.945
353.133,155,8.11
616.528,156.119,8.887
317.935,161.815,8.194
654.83,163.697,8.885
696.042,161.385,8.615
298.162,162.534,9.192
672.783,170.277,8.289
287.292,173.35,8.934
729.66,172.778,9.89
274.014,179.575,8.927
694.84,179.185,8.485
716.183,182.858,8.254
262.03,185.09,9.592
730.003,185.828,9.369
283.989,187.376,8.301
272.087,194.274,8.953
743.134,193.62,9.048
260.682,200.305,8.77
248.412,206.584,8.797
752.262,206.48,9.084
760.815,218.665,9.738
247.957,221.454,8.382
770.397,228.181,9.941
