X,Y,Z
264.841,155.225,6.823
311.284,165.981,7.323
275.337,166.05,7.037
286.817,175.388,6.544
252.889,111.994,7.54
306.622,114.814,8.341
272.432,127.399,7.059
284.363,133.452,7.684
362.62,128.827,8.209
298.282,136.97,7.474
310.091,142.017,7.833
272.419,143.214,8.335
324.793,145.557,7.636
337.87,145.948,7.792
240.609,145.918,7.28
256.02,146.544,7.365
358.814,146.51,8.143
289.654,147.782,7.573
300.878,153.193,7.285
313.114,154.28,8.3
333.805,157.019,7.317
233,156.399,7.779
358.948,158.212,7.331
197.146,161.096,7.877
249.265,158.896,7.896
288.632,160.975,7.568
373.558,160.847,7.488
322.485,162.521,7.576
217.969,163.18,8.255
401.63,166.015,7.539
297.979,168.568,7.782
227.546,169.695,7.519
240.403,170.141,7.689
263.345,168.503,7.955
350.454,170.197,7.162
334.568,169.538,8.527
206.129,170.36,8.137
387.924,173.403,7.783
305.727,178.718,7.331
320.176,176.37,7.958
273.694,179.543,7.551
340.03,179.989,8.185
233.29,182.84,7.769
246.189,183.231,8.132
357.091,106.317,8.843
292.566,111.723,8.998
217.076,117.42,8.955
268.432,116.172,8.264
321.66,119.639,7.916
377.941,118.401,7.974
336.568,120.602,7.881
191.212,124.022,8.095
295.282,123.647,8.238
257.079,124.383,8.609
225.302,127.465,8.633
307.539,128.36,8.898
387.171,127.027,8.063
248.117,134.406,8.498
319.854,133.374,8.065
333.708,133.916,8.879
213.654,138.401,8.888
404.705,139.671,7.821
227.307,142.616,8.481
369.932,147.349,8.413
381.144,148.666,8.696
191.26,148.749,7.803
206.551,151.232,8.38
395.905,151.387,7.856
278.976,152.957,8.223
409.456,153.12,7.253
345.593,157.967,8.878
386.038,161.609,8.434
183.959,162.822,8.474
363.175,169.484,8.931
251.2,171.73,9.344
192.824,175.847,8.849
375.519,175.064,9.67
409.533,178.401,8.866
217.89,179.552,7.825
361.21,180.337,7.916
260.046,181.354,8.665
397.834,179.544,9.115
202.426,183.654,8.375
296.151,185.6,8.252
348.805,186.899,9.546
281.709,189.938,7.578
213.916,191.431,8.816
359.352,193.622,8.552
255.307,193.556,8.141
268.727,192.849,7.991
324.591,194.723,7.957
337.335,194.612,8.476
240.663,197.013,8.23
289.808,198.794,7.65
314.499,202.354,8.19
294.656,88.799,9.403
348.842,96.763,8.809
194,96.977,9.126
208.953,99.583,8.962
303.492,101.255,9.349
390.868,100.132,8.632
287.31,100.715,9.466
264.328,104.352,8.978
222.573,104.928,9.598
244.991,105.127,9.645
316.408,106.905,8.983
278.84,110.238,9.8
330.799,109.571,8.903
201.203,112.827,8.965
368.507,110.19,10.163
391.793,115.369,9.378
431.31,121.523,9.923
206.484,127.739,9.226
397.959,128.141,9.548
347.377,127.678,9.276
144.595,129.536,9.943
422.801,133.262,9.488
235.774,134.206,9.422
374.289,135.457,9.667
261.223,136.352,9.336
185.045,138.164,9.437
349.025,139.967,8.701
389.021,139.993,9.814
428.005,143.682,9.343
162.189,151.645,9.932
219.036,151.914,10.068
421.392,156.919,8.975
168.766,164.034,8.616
415.701,168.24,9.005
429.623,167.685,9.961
457.171,168.674,9.906
163.219,178.238,9.333
179.699,176.701,10.245
328.347,183.063,9.03
387.841,186.351,9.838
370.279,186.66,9.936
187.346,188.719,9.11
312.377,188.858,9.219
412.22,192.609,9.173
425.916,192.751,9.488
398.82,192.053,9.469
226.371,192.655,9.499
437.499,192.046,10.596
381.246,195.711,9.327
301.724,198.39,9.164
369.814,199.785,9.217
348.658,200.494,9.531
230.721,206.018,9.185
252.813,205.011,9.487
265.871,205.637,9.041
278.369,204.888,8.959
361.829,208.551,9.264
304.844,212.293,9.792
266.181,85.124,10.442
304.471,86.041,10.503
232.625,86.408,10.125
246.061,88.175,9.589
280.669,87.617,10.153
326.924,88.422,10.439
314.509,94.585,10.009
363.505,93.725,9.516
337.303,94.812,10.133
257.307,96.075,10.819
427.089,98.561,10.158
234.237,100.637,10.753
325.815,101.004,10.738
419.204,109.088,10.949
435.149,109.263,10.431
190.175,111.468,10.27
342.933,111.116,10.397
406.576,116.663,9.144
232.233,116.42,10.647
165.867,117.922,10.803
179.187,116.971,11.032
354.763,118.773,10.013
448.522,120.186,9.826
282.614,121.339,9.708
417.523,122.534,11.011
243.572,122.756,10.733
174.981,128.63,10.203
448.389,133.656,10.567
435.137,133.539,10.938
159.423,135.976,10.628
199.928,140.53,10.777
170.624,142.674,11.441
148.869,145.95,10.516
176.426,151.839,9.587
432.667,154.543,10.167
145.289,159.172,10.133
442.914,171.797,11.1
432.576,179.788,10.241
419.236,181.485,10.54
447.669,182.862,11.026
172.136,188.76,10.188
458.213,193.76,10.855
201.466,197.756,8.575
446.807,199.302,10.89
390.607,203.114,10.711
417.337,201.79,11.049
217.305,205.634,10.55
326.928,206.784,10.097
379.713,207.802,10.591
338.622,210.1,9.012
242.298,211.342,9.6
292.648,209.689,9.839
349.295,214.154,9.437
316.237,214.429,10.447
257.887,217.945,10.232
374.438,218,10.149
306.208,69.646,11.399
267.024,69.933,10.897
328.567,73.437,10.833
254.121,76.56,11.297
397.345,77.557,11.06
316.606,78.858,10.325
211.65,81.34,11.42
338.841,81.468,11.744
371.854,82.085,10.216
351.451,85.407,10.426
419.156,85.244,11.118
388.167,87.6,10.731
405.437,88.276,12.394
431.461,88.111,11.806
219.383,91.976,10.82
271.899,97.483,10.92
412.721,98.265,11.308
376.269,98.541,11.963
453.508,99.317,11.756
166.963,101.756,10.666
440.035,100.126,12.274
402.838,107.462,10.861
380.257,108.321,10.495
451.112,109.276,10.698
518.431,127.548,12.053
460.749,132.945,11.377
409.67,132.369,10.268
135.701,139.84,11.667
497.322,141.456,11.377
441.109,145.178,10.733
414.46,145.667,9.984
453.336,145.922,11.6
445.375,159.062,10.269
132.411,165.233,11.233
156.534,166.632,10.581
147.417,175.564,11.302
131.822,179.15,11.478
460.29,180.925,11.323
154.444,187.863,10.365
141.789,188.67,11.519
163.336,200.344,10.669
179.447,200.261,10.466
468.089,200.867,12.049
191.241,201.559,10.193
403.243,203.913,10.091
431.561,205.537,11.154
454.896,206.426,11.402
202.634,210.236,11.112
409.532,212.169,11.169
421.627,214.598,10.934
442.712,212.114,11.676
398.37,216.58,10.866
272.131,216.8,10.477
282.953,216.641,10.849
385.805,220.133,10.878
360.751,221.663,10.663
339.41,222.08,10.44
293.944,224.503,10.063
326.231,221.241,10.773
242.701,222.726,10.679
310.531,228.293,10.986
174.909,307,9.364
282.628,65.403,11.822
335.472,65.111,11.879
348.021,71.039,11.677
225.147,76.842,11.604
239.877,76.117,10.929
412.86,74.52,11.487
292.636,75.986,11.221
360.223,76.147,11.63
381.934,75.98,11.397
439.536,75.808,11.68
163.475,84.184,11.843
473.527,87.133,12.088
445.439,88.692,12.943
458.655,87.355,12.064
176.074,90.894,11.768
202.366,89.418,11.778
153.938,96.065,11.731
468.653,96.85,11.769
399.435,96.423,11.643
182.595,101.645,11.455
144.485,103.691,12.889
156.337,111.08,12.569
473.364,110.792,13.123
141.975,116.477,11.833
483.452,119.677,12.327
129.319,126.005,11.862
503.893,130.258,13.221
472.644,135.116,12.839
119.561,140.078,12.257
511.232,141.34,13.302
482.296,142.913,12.394
464.45,147.54,12.651
526.09,150.11,12.6
126.659,151.593,13.146
137.711,152.201,11.752
456.813,155.897,10.738
480.594,164.965,11.597
118.895,170.863,11.689
499.621,178.09,12.769
480.796,179.46,13.13
469.807,186.599,12.451
489.194,187.077,12.547
501.925,191.417,12.091
478.44,194.166,12.777
489.421,201.219,12.143
151.03,201.644,12.216
477.965,208.715,12.688
466.353,214.012,12.06
187.87,214.777,11.284
211.546,218.806,11.295
226.276,218.822,10.838
453.411,218.915,12.166
348.707,226.518,11.34
271.659,226.522,11.58
371.208,228.875,11.562
231.463,65.482,12.917
198.273,61.401,13.635
295.093,65.254,12.805
244.642,65.777,12.693
388.894,66.043,12.426
402.346,67.084,12.453
215.785,69.299,12.477
370.787,67.23,11.639
317.976,68.153,12.035
425.934,73.656,12.579
452.3,75.121,12.953
175.25,74.726,12.901
277.956,79.885,12.23
188.94,86.584,12.315
137.652,93.187,13.946
479.696,99.703,13.74
512.446,105.554,14.129
511.69,117.278,13.306
496.441,118.901,13.138
529.133,117.932,12.856
115.618,125.706,12.902
156.697,126.109,13.206
487.627,131.515,13.985
523.054,138.651,13.847
505.097,152.389,13.169
473.559,153.693,13.674
486.179,153.748,13.303
495.456,158.38,14.094
516.492,158.606,13.834
116.177,159.973,12.469
466.252,161.279,12.429
505.262,168.059,13.721
532.949,171.131,14.452
469.184,174.05,12.972
524.574,180.241,13.437
512.213,182.269,12.907
116.708,182.563,13.62
125.793,192.028,12.663
511.705,197.7,13.668
499.083,207.74,14.092
158.637,213.419,12.696
173.703,212.228,12.242
197.86,221.855,12.308
431.545,221.053,12.845
442.467,225.053,12.891
409.013,225.923,11.665
218.729,228.394,12.323
257.828,229.707,11.379
395.727,229.404,12.217
422.053,229.735,12.862
231.04,232.195,12.425
288.042,231.389,11.556
207.51,231.2,12.845
322.564,232.272,12.257
334.357,232.408,12.276
382.311,233.18,12.398
299.497,235.159,12.252
243.301,236.582,12.502
312.045,239.18,12.667
261.277,47.543,15.197
