X,Y,Z
525.746,126.383,6.867
273.662,128.155,5.81
378.755,132.666,7.065
453.427,133.844,7.071
461.465,135.434,6.354
529.046,136.609,7.229
318.237,139.74,6.86
385.21,142.477,6.897
659.178,140.815,6.455
444.047,143.264,7.334
512.068,144.826,7.389
628.132,144.91,6.672
258.45,144.44,6.731
268.981,145.533,6.535
312.251,147.369,6.973
325.146,148.518,6.052
351.177,148.796,6.892
336.32,151.111,6.74
434.878,150.027,6.468
248.297,152.862,6.987
478.592,152.041,6.89
259.576,156.732,7.046
317.528,159.293,5.929
357.993,158.571,6.99
382.678,161.401,6.558
630.066,163.644,7.071
308.481,168.163,6.389
289.548,169.544,7.033
262.043,170.002,7.277
319.597,171.987,6.675
664.112,174.957,7.17
375.197,101.698,7.939
385.853,103.952,8.101
539.439,110.781,7.553
585.749,111.774,6.799
498.976,114.863,6.956
319.515,117.086,7.776
510.302,116.825,8.062
287.465,119.807,6.842
670.016,119.95,7.496
592.321,121.106,6.911
266.822,121.949,7.816
239.721,123.945,6.969
373.545,121.599,7.227
485.682,120.125,7.662
254.142,125.363,7.561
299.247,127.214,7.369
309.358,124.806,7.703
504.133,124.878,8.023
605.451,121.098,7.809
690.901,125.066,7.108
356.991,128.274,7.541
628.126,128.98,6.837
320.188,129.152,7.84
443.461,130.743,7.34
467.335,127.615,7.441
286.697,130.091,6.476
391.167,131.082,7.573
665.356,131.085,7.229
260.969,133.527,5.942
550.162,132.225,7.167
589.739,133.531,7.079
598.383,131.017,7.422
518.332,135.566,7.043
232.213,135.976,7.53
505.151,135.546,7.538
697.034,135.184,6.345
246.365,137.89,7.622
307.791,135.834,7.578
330.458,138.545,7.265
434.772,137.307,6.929
714.119,137.849,6.865
540.285,136.742,7.458
280.327,140.626,6.276
344.325,139.077,6.453
357.097,138.786,6.831
411.693,140.45,7.925
496.175,138.407,8.054
572.877,139.528,6.528
581.968,139.649,7.509
670.014,141.58,7.273
396.87,143.099,6.894
687.505,144.03,6.879
240.547,146.282,6.026
372.513,142.363,8.121
611.732,145.249,7
650.02,145.875,7.478
299.855,146.46,6.5
455.756,147.033,6.537
588.118,146.166,7.524
226.892,148.529,7.622
532.345,147.168,6.387
542.198,146.996,6.949
701.115,145.731,6.295
292.153,143.906,7.291
678.904,148.734,7.163
719.095,148.425,7.27
279.641,150.574,6.876
364.652,150.253,7.852
576.073,151.065,7.484
600.333,150.97,7.695
375.967,152.248,7.348
412.038,151.403,7.719
661.781,150.742,7.618
401.076,152.114,7.829
217.966,154.835,7.961
669.858,153.628,7.578
498.391,155.065,6.359
548,154.548,7.461
634.727,153.82,7.297
689.06,154.187,6.341
486.858,156.982,7.672
517.354,155.316,7.379
568.188,155.531,6.234
304.944,158.073,6.594
527.662,156.647,7.256
584.414,156.216,7.959
653.628,156.659,7.782
236.557,159.664,7.209
418.455,160.346,7.298
538.262,157.574,8.292
724.796,157.893,7.799
326.993,159.553,6.908
345.932,159.178,7.548
679.07,158.474,7.599
271.631,159.31,7.708
288.843,159.594,6.949
406.713,161.253,7.739
468.631,159.43,7.059
558.596,160.253,7.034
336.709,162.353,7.209
663.291,161.98,7.299
225.429,164.86,7.524
250.646,163.937,7.715
368.084,162.39,6.774
437.208,161.909,6.97
577.874,164.085,7.77
297.855,163.831,7.244
393.903,164.559,7.62
523.895,164.98,7.32
504.03,166.248,7.192
514.259,166.634,7.699
544.967,166.028,7.085
479.738,166.275,7.406
277.252,168.527,7.239
355.051,168.121,7.273
654.779,169.853,7.353
330.521,170.619,7.038
372.711,170.012,7.59
533.46,168.027,7.165
342.801,171.939,7.31
234.901,173.851,7.286
385.26,172.988,7.213
698.401,172.741,6.635
248.381,174.576,7.806
298.361,177.597,7.013
523.258,175.398,7.723
539.16,175.837,7.227
579.332,175.801,8.184
269.526,179.429,7.268
310.617,179.523,6.702
396.729,180.006,6.671
257.309,182.397,8.413
376.077,187.145,7.51
514.718,185.564,8.128
532.948,186.258,7.728
303.018,189.985,7.209
540.57,95.145,8.671
360.229,104.191,8.042
415.815,104.101,8.132
515.801,106.663,7.785
329.508,107.367,7.278
348.989,108.352,8.215
651.049,109.223,8.105
670.717,108.106,7.945
280.796,107.298,7.867
435.027,107.567,8.427
528.391,110,7.052
295.098,109.344,7.721
369.217,111.064,7.86
379.813,112,7.986
338.907,112.645,7.835
552.111,110.519,7.457
422.281,113.795,7.886
453.153,115.318,7.997
660.524,113.024,8.175
216.091,115.262,8.164
243.652,113.29,8.29
359.495,116.866,7.895
641.375,114.077,7.577
389.091,117.109,7.859
403.612,114.673,7.449
701.112,118.291,7.795
474.32,119.343,7.862
275.689,118.8,7.133
431.217,119.504,7.775
442.191,119.325,7.56
517.763,121.496,7.728
567.616,118.425,7.014
578.145,117.868,7.237
613.206,118.804,8.342
631.914,116.793,6.931
720.537,117.445,7.841
346.746,121.208,8.596
532.5,119.573,7.9
650.214,120.779,7.344
399.294,120.824,6.941
622.373,120.206,7.843
680.742,122.828,7.864
546.485,121.724,7.939
731.921,124.871,7.707
224.361,126.155,7.968
412.483,119.308,8.075
421.741,124.688,8.607
711.429,123.495,7.604
183.811,126.328,8.628
196.225,127.1,8.409
639.507,125.751,8.262
658.886,123.532,7.555
495.791,126.156,8.662
537.363,126.631,7.656
564.729,126.678,6.932
618.18,127.652,6.933
336.073,126.902,7.317
432.14,127.467,7.467
401.915,129.792,6.651
410.893,129.053,7.027
578.387,129.383,8.122
673.443,129.671,8.171
719.689,130.943,7.465
345.327,130.791,7.609
478.071,128.777,8.179
485.885,129.779,7.23
210.223,130.831,8.401
365.284,131.605,7.702
650.376,132.012,6.929
608.106,135.953,7.445
682.268,135.468,7.46
186.937,138.498,7.975
471.473,138.716,7.395
559.905,137.066,7.649
173.141,138.046,8.417
220.139,139.086,7.996
423.933,136.562,7.213
634.947,136.382,7.779
704.72,136.39,7.33
730.552,137.779,8.091
620.852,138.79,8.183
483.293,140.796,7.773
549.81,140.446,7.446
740.84,141.147,9.207
597.367,141.339,7.156
208.631,146.095,8.79
422.504,146.018,7.739
728.478,147.111,7.695
194.758,148.348,7.611
467.722,148.238,8.228
499.492,148.068,6.458
637.494,145.18,7.281
708,146.878,7.422
489.082,148.287,7.903
558.076,150.086,7.32
567.21,148.975,7.543
167.764,149.916,8.612
234.694,149.972,6.694
619.341,150.072,8.106
181.064,150.443,8.335
391.936,150.833,6.936
386.667,152.6,6.467
739.843,152.933,7.258
428.11,153.883,7.772
445.652,153.839,8.214
506.897,155.526,7.573
643.845,155.471,7.176
158.984,157.153,9.057
456.788,157.283,7.912
610.964,156.613,8.498
715.18,157.947,7.286
748.352,158.314,7.514
704.6,159.742,6.975
188.215,160.696,9.15
567.933,160.578,6.556
448.39,163.822,8.474
590.868,162.426,8.485
696.041,162.299,7.619
172.991,162.769,8.582
211.351,165.556,7.659
603.686,163.591,8.131
428.822,165.162,7.848
457.124,166.478,7.69
732.015,165.382,7.939
741.996,166.183,8.084
566.667,167.098,6.824
683.677,167.661,7.065
137.288,167.594,9.474
721.125,168.133,8.255
149.419,169.703,8.611
469.526,169.735,7.491
673.705,169.326,7.084
401.945,171.757,7.718
589.314,172.214,7.498
183.288,171.902,8.533
195.994,172.978,8.739
425.275,173.88,7.562
637.052,171.241,6.862
711.05,170.95,7.1
411.065,172.638,7.355
509.577,176.123,7.935
559.781,175.353,8.487
626.726,175.345,6.976
645.248,176.946,7.292
682.196,174.232,7.196
737.055,174.52,8.27
163.864,172.927,8.764
221.787,176.653,8.261
364.154,177.208,7.054
485.845,176.563,7.01
569.785,175.425,7.935
350.965,177.645,7.834
549.305,177.021,8.441
206.533,178.276,8.247
282.988,178.976,7.75
476.733,177.24,8.65
673.876,179.192,7.946
690.987,177.577,7.235
726.173,177.907,8.71
463.305,178.835,8.299
405.225,183.243,7.836
634.586,180.184,8.988
716.783,179.285,8.667
324.038,181.838,7.554
338.513,184.548,7.31
387.367,184.596,7.7
596.692,181.156,8.071
655.113,182.602,8.014
417.051,181.071,8.81
241.4,186.4,7.376
697.858,183.768,7.716
524.728,185.935,7.834
683.031,184.738,7.738
354.784,187.069,8.116
429.528,184.843,8.665
545.87,186.712,8.361
668.213,187.557,7.661
566.23,187.052,8.287
576.015,189.737,7.788
586.859,185.569,8.408
642.422,187.859,8.005
213.891,188.942,8.679
290.57,190.652,7.77
316.75,188.971,8.422
482.281,190.503,8.768
276.896,190.646,7.997
396.313,192.338,7.723
659.657,190.319,9.197
264.344,193.437,8.713
690.565,198.103,8.984
251.432,194.11,8.561
342.526,194.422,8.005
308.15,198.777,8.006
573.221,199.913,8.883
283.298,199.493,8.627
386.193,197.123,9.449
273.016,203.045,7.763
295.941,200.767,7.767
467.121,86.189,10.336
384.765,88.426,8.887
371.354,89.446,8.277
357.331,92.276,8.545
296.131,92.343,9.725
459.645,94.74,8.997
496.225,92.96,9.277
261.724,92.506,9.799
504.75,94.132,7.574
531.187,92.731,9.63
595.712,93.679,8.853
584.617,95.032,9.766
324.006,96.24,9.222
517.797,93.326,8.678
522.533,96.027,8.24
347.848,98.581,8.949
426.869,98.697,7.747
471.278,99.217,9.27
237.503,102.223,8.574
339.194,100.24,8.279
406.983,104.233,7.903
251.13,100.427,8.496
316.814,101.471,7.714
533.894,102.952,8.048
546.945,102.945,8.033
296.772,102.418,8.253
578.602,104.953,9.164
603.284,100.816,9.532
641.241,102.88,7.889
661.615,103.648,9.126
706,104.192,8.589
